        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
        91.2823       0.164264        219.077        350.524       0.946787       0.172864     0.00577333      0.0232986      0.0667473    0.000942074      0.0374406
        97.4789       0.164093        233.949        374.319       0.952092       0.173733     0.00582277      0.0234937       0.066494    0.000956817      0.0375087
        104.096       0.163922        249.831         399.73       0.957175       0.174563      0.0058688      0.0236792      0.0662434    0.000970703      0.0375664
        111.163       0.163751        266.791        426.865       0.962009       0.175347     0.00591114       0.023854      0.0659958    0.000983647       0.037613
        118.709       0.163581        284.902        455.843        0.96657       0.176084     0.00594955      0.0240168      0.0657512    0.000995572       0.037648
        126.768        0.16341        304.242        486.787       0.970838       0.176771     0.00598382      0.0241667      0.0655099     0.00100641      0.0376709
        135.373       0.163239        324.895        519.833       0.974796       0.177405     0.00601381      0.0243029      0.0652719     0.00101611      0.0376814
        144.563       0.163068        346.951        555.121       0.978431       0.177985      0.0060394      0.0244247      0.0650373     0.00102463      0.0376792
        154.376       0.162898        370.504        592.806       0.981736       0.178509     0.00606053      0.0245317      0.0648061     0.00103195      0.0376643
        164.856       0.162727        395.655        633.048       0.984709       0.178978     0.00607723      0.0246238      0.0645782     0.00103806      0.0376368
        176.047       0.162556        422.514        676.022       0.987351       0.179392     0.00608954       0.024701      0.0643537     0.00104297      0.0375971
        187.998       0.162385        451.196        721.914        0.98967       0.179753     0.00609762      0.0247635      0.0641324     0.00104671      0.0375455
        200.761       0.162215        481.825        770.921       0.991679       0.180063     0.00610163      0.0248121       0.063914     0.00104933      0.0374826
        214.389       0.162044        514.534        823.254       0.993396       0.180325     0.00610182      0.0248473      0.0636985     0.00105088      0.0374091
        228.943       0.161873        549.463        879.141       0.994839       0.180541     0.00609846      0.0248702      0.0634856     0.00105144      0.0373259
        244.485       0.161702        586.763        938.821       0.996034       0.180716     0.00609186      0.0248817       0.063275      0.0010511      0.0372338
        261.081       0.161531        626.595        1002.55       0.997007       0.180854     0.00608236       0.024883      0.0630664     0.00104994      0.0371339
        278.805       0.161361        669.131        1070.61       0.997783        0.18096     0.00607029      0.0248755      0.0628597     0.00104805      0.0370269
        297.731        0.16119        714.555        1143.29       0.998392       0.181037     0.00605601      0.0248601      0.0626545     0.00104554      0.0369141
        317.943       0.161019        763.062         1220.9       0.998858        0.18109     0.00603983      0.0248383      0.0624505     0.00104249      0.0367961
        339.526       0.160848        814.862        1303.78       0.999208       0.181122     0.00602207       0.024811      0.0622476       0.001039       0.036674
        362.575       0.160678        870.179        1392.29       0.999464       0.181138     0.00600301      0.0247794      0.0620454     0.00103513      0.0365485
        387.188       0.160507        929.251         1486.8       0.999647       0.181141     0.00598291      0.0247443      0.0618439     0.00103096      0.0364202
        413.472       0.160336        992.333        1587.73       0.999774       0.181133     0.00596198      0.0247065      0.0616428     0.00102655      0.0362899
         441.54       0.160165         1059.7        1695.51       0.999859       0.181117     0.00594041      0.0246667      0.0614421     0.00102195      0.0361579
        471.514       0.159995        1131.63        1810.61       0.999915       0.181095     0.00591833      0.0246254      0.0612415      0.0010172      0.0360247
        503.523       0.159824        1208.45        1933.53       0.999951       0.181068     0.00589586      0.0245829      0.0610411     0.00101234      0.0358906
        537.704       0.159653        1290.49        2064.78       0.999972       0.181037      0.0058731      0.0245397      0.0608408     0.00100738      0.0357558
        574.206       0.159482        1378.09        2204.95       0.999985       0.181003     0.00585009      0.0244958      0.0606404     0.00100236      0.0356205
        613.186       0.159311        1471.65        2354.63       0.999992       0.180966     0.00582689      0.0244514      0.0604401    0.000997274      0.0354848
        654.812       0.159141        1571.55        2514.48       0.999996       0.180928     0.00580353      0.0244068      0.0602398    0.000992137      0.0353488
        699.263        0.15897        1678.23        2685.17       0.999998       0.180888     0.00578002      0.0243618      0.0600394    0.000986955      0.0352126
        746.732       0.158799        1792.16        2867.45       0.999999       0.180846     0.00575637      0.0243165       0.059839    0.000981729       0.035076
        797.424       0.158628        1913.82        3062.11              1       0.180803     0.00573259       0.024271      0.0596385    0.000976463      0.0349393
        851.557       0.158458        2043.74        3269.98              1       0.180758     0.00570869      0.0242253       0.059438    0.000971158      0.0348023
        909.365       0.158287        2182.47        3491.96              1       0.180711     0.00568467      0.0241794      0.0592375    0.000965814      0.0346652
        971.096       0.158116        2330.63        3729.01              1       0.180663     0.00566052      0.0241332      0.0590369    0.000960433      0.0345279
        1037.02       0.157945        2488.85        3982.15              1       0.180613     0.00563627      0.0240869      0.0588363    0.000955018      0.0343903
        1107.42       0.157775         2657.8        4252.48              1       0.180562      0.0056119      0.0240403      0.0586356     0.00094957      0.0342526
        1182.59       0.157604        2838.22        4541.16              1       0.180509     0.00558743      0.0239935       0.058435    0.000944092      0.0341148
        1262.87       0.157433         3030.9        4849.43              1       0.180455     0.00556287      0.0239464      0.0582342    0.000938588      0.0339767
         1348.6       0.157262        3236.65        5178.63              1       0.180399     0.00553823      0.0238992      0.0580335    0.000933062      0.0338386
        1440.15       0.157091        3456.36        5530.18              1       0.180342     0.00551352      0.0238517      0.0578327    0.000927518      0.0337004
        1537.92       0.156921           3691         5905.6              1       0.180283     0.00548875       0.023804      0.0576318     0.00092196       0.033562
        1642.32        0.15675        3941.56         6306.5              1       0.180224     0.00546392      0.0237561      0.0574309    0.000916394      0.0334236
        1753.81       0.156579        4209.13        6734.61              1       0.180163     0.00543907       0.023708        0.05723    0.000910824      0.0332851
        1872.86       0.156408        4494.87        7191.79              1       0.180101     0.00541419      0.0236596       0.057029    0.000905253      0.0331466
           2000       0.156238           4800           7680              1       0.180039     0.00538929       0.023611       0.056828    0.000899686      0.0330081
