        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
        13.5888       0.169216        32.6131        97.8393        0.80143       0.984313       0.870364        1.02467       0.945929       0.747983       0.941328
        14.5113       0.169045         34.827        104.481        0.80451        0.98536       0.878207        1.02315        0.94913         0.7621       0.944938
        15.4964       0.168874        37.1912        111.574       0.807747       0.986338       0.885592        1.02172       0.952131       0.775546       0.948318
        16.5483       0.168704         39.716        119.148       0.811145       0.987251       0.892548        1.02039       0.954945       0.788341       0.951483
        17.6717       0.168533        42.4121        127.236       0.814707       0.988103       0.899097        1.01914       0.957586       0.800506       0.954449
        18.8713       0.168362        45.2912        135.874       0.818436       0.988901       0.905263        1.01797       0.960066        0.81206       0.957229
        20.1524       0.168191        48.3658        145.097       0.822336       0.989646       0.911069        1.01687       0.962395       0.823028       0.959836
        21.5204       0.168021        51.6491        154.947       0.826408       0.990342       0.916533        1.01584       0.964583       0.833429       0.962281
        22.9813        0.16785        55.1552        165.466       0.830654       0.990994       0.921675        1.01488        0.96664       0.843285       0.964576
        24.5414       0.167679        58.8994        176.698       0.835073       0.991602       0.926513        1.01397       0.968574       0.852619       0.966729
        26.2074       0.167508        62.8978        188.693       0.839665       0.992171       0.931063        1.01313       0.970393       0.861452        0.96875
        27.9865       0.167338        67.1676        201.503       0.844427       0.992703       0.935343        1.01233       0.972104       0.869803       0.970648
        29.8863       0.167167        71.7272        215.182       0.849357       0.993201       0.939367        1.01158       0.973715       0.877694        0.97243
        31.9152       0.166996        76.5964        229.789       0.854449       0.993665       0.943149        1.01088        0.97523       0.885146       0.974103
        34.0817       0.166825        81.7961        245.388       0.859697       0.994099       0.946702        1.01022       0.976657       0.892177       0.975674
        36.3953       0.166654        87.3488        262.046       0.865092       0.994504       0.950039         1.0096          0.978       0.898806       0.977149
         38.866       0.166484        93.2785        279.835       0.870625       0.994882       0.953173        1.00902       0.979264       0.905053       0.978534
        41.5044       0.166313        99.6106        298.832       0.876283       0.995235       0.956113        1.00848       0.980455       0.910934       0.979834
        44.3219       0.166142        106.373        319.118       0.882052       0.995563       0.958872        1.00797       0.981576       0.916469       0.981055
        47.3307       0.165971        113.594        340.781       0.887916        0.99587       0.961459        1.00749       0.982632       0.921673       0.982201
        50.5438       0.165801        121.305        363.915       0.893857       0.996155       0.963884        1.00704       0.983626       0.926562       0.983276
        53.9749        0.16563         129.54        388.619       0.899854       0.996421       0.966156        1.00661       0.984562       0.931154       0.984285
         57.639       0.165459        138.334        415.001       0.905884       0.996668       0.968284        1.00621       0.985444       0.935462       0.985231
        61.5518       0.165288        147.724        443.173       0.911923       0.996897       0.970276        1.00584       0.986275       0.939502       0.986119
        65.7302       0.165118        157.752        473.257       0.917945       0.997111        0.97214        1.00549       0.987057       0.943288       0.986951
        70.1922       0.164947        168.461        505.384       0.923922       0.997309       0.973883        1.00516       0.987793       0.946835       0.987732
        74.9572       0.164776        179.897        539.692       0.929824       0.997493       0.975513        1.00485       0.988486       0.950154       0.988464
        80.0457       0.164605         192.11        576.329       0.935623       0.997663       0.977037        1.00456       0.989139        0.95326        0.98915
        85.4795       0.164434        205.151        615.453       0.941287       0.997821        0.97846        1.00429       0.989754       0.956164       0.989792
        91.2823       0.164264        219.077        657.232       0.946787       0.997968        0.97979        1.00403       0.990333       0.958879       0.990395
        97.4789       0.164093        233.949        701.848       0.952092       0.998104       0.981031        1.00379       0.990878       0.961416        0.99096
        104.096       0.163922        249.831        749.493       0.957175        0.99823       0.982191        1.00357       0.991391       0.963785       0.991489
        111.163       0.163751        266.791        800.372       0.962009       0.998346       0.983273        1.00336       0.991874       0.965998       0.991984
        118.709       0.163581        284.902        854.705        0.96657       0.998454       0.984283        1.00316       0.992328       0.968064       0.992448
        126.768        0.16341        304.242        912.726       0.970838       0.998553       0.985225        1.00297       0.992757       0.969992       0.992883
        135.373       0.163239        324.895        974.686       0.974796       0.998645       0.986105         1.0028        0.99316       0.971792        0.99329
        144.563       0.163068        346.951        1040.85       0.978431       0.998729       0.986926        1.00263       0.993539       0.973471       0.993672
        154.376       0.162898        370.504        1111.51       0.981736       0.998807       0.987692        1.00248       0.993896       0.975039       0.994029
        164.856       0.162727        395.655        1186.97       0.984709       0.998878       0.988407        1.00233       0.994233       0.976502       0.994363
        176.047       0.162556        422.514        1267.54       0.987351       0.998944       0.989075        1.00219        0.99455       0.977868       0.994677
        187.998       0.162385        451.196        1353.59        0.98967       0.999005         0.9897        1.00206       0.994848       0.979145       0.994971
        200.761       0.162215        481.825        1445.48       0.991679        0.99906       0.990284        1.00194        0.99513       0.980338       0.995247
        214.389       0.162044        514.534         1543.6       0.993396       0.999112        0.99083        1.00182       0.995395       0.981455       0.995506
        228.943       0.161873        549.463        1648.39       0.994839       0.999161       0.991343        1.00171       0.995646       0.982501        0.99575
        244.485       0.161702        586.763        1760.29       0.996034       0.999206       0.991825        1.00161       0.995882       0.983484       0.995979
        261.081       0.161531        626.595        1879.79       0.997007       0.999249       0.992278        1.00151       0.996105       0.984409       0.996196
        278.805       0.161361        669.131        2007.39       0.997783        0.99929       0.992705        1.00142       0.996315       0.985281       0.996401
        297.731        0.16119        714.555        2143.66       0.998392        0.99933       0.993109        1.00134       0.996514       0.986105       0.996595
        317.943       0.161019        763.062        2289.19       0.998858       0.999368       0.993491        1.00126       0.996703       0.986886       0.996779
        339.526       0.160848        814.862        2444.59       0.999208       0.999405       0.993853        1.00119       0.996881       0.987625       0.996954
        362.575       0.160678        870.179        2610.54       0.999464       0.999442       0.994196        1.00113       0.997049       0.988327        0.99712
        387.188       0.160507        929.251        2787.75       0.999647       0.999477       0.994522        1.00107       0.997209       0.988993       0.997277
        413.472       0.160336        992.333           2977       0.999774       0.999511       0.994831        1.00101        0.99736       0.989626       0.997427
         441.54       0.160165         1059.7        3179.09       0.999859       0.999544       0.995124        1.00096       0.997502       0.990224       0.997569
        471.514       0.159995        1131.63         3394.9       0.999915       0.999576       0.995401        1.00091       0.997638       0.990791       0.997703
        503.523       0.159824        1208.45        3625.36       0.999951       0.999606       0.995662        1.00086       0.997765       0.991324        0.99783
        537.704       0.159653        1290.49        3871.47       0.999972       0.999634       0.995908        1.00082       0.997886       0.991826       0.997951
        574.206       0.159482        1378.09        4134.28       0.999985       0.999659       0.996139        1.00078       0.998001       0.992295       0.998064
        613.186       0.159311        1471.65        4414.94       0.999992       0.999682       0.996355        1.00074       0.998109       0.992732       0.998171
        654.812       0.159141        1571.55        4714.64       0.999996       0.999703       0.996557         1.0007       0.998211       0.993137       0.998271
        699.263        0.15897        1678.23         5034.7       0.999998       0.999721       0.996744        1.00067       0.998308       0.993512       0.998365
        746.732       0.158799        1792.16        5376.47       0.999999       0.999736       0.996918        1.00063       0.998399       0.993857       0.998453
        797.424       0.158628        1913.82        5741.45              1       0.999749       0.997079         1.0006       0.998485       0.994173       0.998535
        851.557       0.158458        2043.74        6131.21              1       0.999759       0.997228        1.00056       0.998566       0.994464       0.998611
        909.365       0.158287        2182.47        6547.42              1       0.999767       0.997365        1.00053       0.998642       0.994731       0.998682
        971.096       0.158116        2330.63        6991.89              1       0.999773       0.997493         1.0005       0.998714       0.994976       0.998749
        1037.02       0.157945        2488.85        7466.54              1       0.999778       0.997611        1.00047       0.998782       0.995204       0.998811
        1107.42       0.157775         2657.8         7973.4              1       0.999781       0.997722        1.00043       0.998846       0.995416       0.998868
        1182.59       0.157604        2838.22        8514.67              1       0.999783       0.997826         1.0004       0.998907       0.995617       0.998923
        1262.87       0.157433         3030.9        9092.69              1       0.999785       0.997925        1.00037       0.998963       0.995808       0.998974
         1348.6       0.157262        3236.65        9709.94              1       0.999788        0.99802        1.00035       0.999017       0.995994       0.999022
        1440.15       0.157091        3456.36        10369.1              1        0.99979       0.998112        1.00032       0.999068       0.996176       0.999067
        1537.92       0.156921           3691          11073              1       0.999793       0.998201        1.00029       0.999116       0.996356        0.99911
        1642.32        0.15675        3941.56        11824.7              1       0.999797       0.998289        1.00027       0.999161       0.996537       0.999152
        1753.81       0.156579        4209.13        12627.4              1       0.999803       0.998376        1.00024       0.999204       0.996718       0.999192
        1872.86       0.156408        4494.87        13484.6              1       0.999809       0.998462        1.00022       0.999245         0.9969        0.99923
           2000       0.156238           4800          14400              1       0.999817       0.998547         1.0002       0.999284       0.997083       0.999267
