        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2           21.6       0.762394       0.908898       0.484383        1.12286       0.739446       0.255727       0.704256
        3.20365       0.172973        7.68877        23.0663       0.763213       0.917004       0.510965        1.11344       0.758162       0.278833        0.72588
        3.42113       0.172802        8.21072        24.6322       0.764084       0.924257       0.536965        1.10486       0.775668       0.302618       0.746112
        3.65337       0.172631         8.7681        26.3043       0.765011       0.930734       0.562227        1.09703       0.791955       0.326925        0.76493
        3.90138       0.172461        9.36332          28.09       0.765997       0.936515       0.586622         1.0899       0.807039       0.351593       0.782344
        4.16623        0.17229        9.99894        29.9968       0.767045       0.941679       0.610053        1.08338       0.820955       0.376462       0.798394
        4.44905       0.172119        10.6777        32.0332       0.768159       0.946302       0.632453        1.07743       0.833755       0.401381        0.81314
        4.75107       0.171948        11.4026        34.2077       0.769342       0.950454       0.653783        1.07197       0.845506       0.426207       0.826661
         5.0736       0.171777        12.1766        36.5299         0.7706       0.954198       0.674028        1.06698       0.856282        0.45081       0.839045
        5.41802       0.171607        13.0032        39.0097       0.771935       0.957587       0.693195        1.06239        0.86616       0.475076       0.850383
        5.78582       0.171436         13.886        41.6579       0.773352       0.960668       0.711306        1.05817       0.875218       0.498906        0.86077
        6.17858       0.171265        14.8286        44.4858       0.774856       0.963481       0.728394        1.05428       0.883534       0.522217       0.870295
        6.59801       0.171094        15.8352        47.5057       0.776451       0.966057       0.744502        1.05069       0.891179       0.544941       0.879044
        7.04592       0.170924        16.9102        50.7306       0.778142       0.968425       0.759678        1.04737       0.898221       0.567024       0.887094
        7.52423       0.170753        18.0581        54.1744       0.779933       0.970607       0.773969         1.0443       0.904721       0.588425       0.894516
        8.03501       0.170582         19.284         57.852        0.78183       0.972621       0.787426        1.04145       0.910732       0.609114       0.901374
        8.58046       0.170411        20.5931        61.7793       0.783838       0.974486       0.800098         1.0388       0.916303        0.62907       0.907722
        9.16294       0.170241        21.9911        65.9732       0.785961       0.976214       0.812029        1.03633       0.921476       0.648282        0.91361
        9.78496        0.17007        23.4839        70.4517       0.788206       0.977818       0.823265        1.03404       0.926287       0.666744       0.919081
        10.4492       0.169899        25.0781        75.2343       0.790577       0.979309       0.833846         1.0319        0.93077       0.684457       0.924171
        11.1586       0.169728        26.7805        80.3416        0.79308       0.980696       0.843812         1.0299       0.934952       0.701427       0.928913
         11.916       0.169557        28.5985        85.7955        0.79572       0.981987       0.853198        1.02804       0.938858       0.717662       0.933336
         12.725       0.169387        30.5399        91.6197       0.798501       0.983191       0.862038         1.0263       0.942511       0.733176       0.937467
