        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2           21.6       0.762394       0.875492       0.544042        1.02007        1.01295       0.274451        0.84878
        3.20365       0.172973        7.68877        23.0663       0.763213       0.884343       0.566308        1.01862        1.01203       0.296124       0.859267
        3.42113       0.172802        8.21072        24.6322       0.764084       0.892481       0.587969        1.01729        1.01118       0.318321       0.868944
        3.65337       0.172631         8.7681        26.3043       0.765011       0.899961       0.608958        1.01608         1.0104        0.34093       0.877869
        3.90138       0.172461        9.36332          28.09       0.765997       0.906837       0.629226        1.01496        1.00968       0.363835         0.8861
        4.16623        0.17229        9.99894        29.9968       0.767045       0.913162       0.648736        1.01393        1.00903       0.386924       0.893697
        4.44905       0.172119        10.6777        32.0332       0.768159       0.918988       0.667467        1.01298        1.00842       0.410083       0.900715
        4.75107       0.171948        11.4026        34.2077       0.769342       0.924363       0.685405        1.01211        1.00786       0.433206       0.907207
         5.0736       0.171777        12.1766        36.5299         0.7706       0.929331       0.702551        1.01131        1.00734       0.456191       0.913223
        5.41802       0.171607        13.0032        39.0097       0.771935        0.93393       0.718911        1.01057        1.00686       0.478946       0.918805
        5.78582       0.171436         13.886        41.6579       0.773352       0.938196       0.734497        1.00988        1.00642       0.501386       0.923993
        6.17858       0.171265        14.8286        44.4858       0.774856        0.94216       0.749328        1.00924          1.006       0.523437       0.928822
        6.59801       0.171094        15.8352        47.5057       0.776451       0.945849       0.763425        1.00865        1.00562       0.545035       0.933323
        7.04592       0.170924        16.9102        50.7306       0.778142       0.949285       0.776812         1.0081        1.00526       0.566125       0.937522
        7.52423       0.170753        18.0581        54.1744       0.779933       0.952491       0.789516        1.00758        1.00493        0.58666       0.941444
        8.03501       0.170582         19.284         57.852        0.78183       0.955485       0.801563        1.00711        1.00462       0.606604        0.94511
        8.58046       0.170411        20.5931        61.7793       0.783838       0.958283       0.812979        1.00666        1.00433       0.625929        0.94854
        9.16294       0.170241        21.9911        65.9732       0.785961         0.9609       0.823794        1.00624        1.00406       0.644614        0.95175
        9.78496        0.17007        23.4839        70.4517       0.788206       0.963349       0.834032        1.00585        1.00381       0.662644       0.954757
        10.4492       0.169899        25.0781        75.2343       0.790577       0.965642       0.843722        1.00549        1.00357        0.68001       0.957575
        11.1586       0.169728        26.7805        80.3416        0.79308       0.967791       0.852888        1.00515        1.00335       0.696709       0.960216
         11.916       0.169557        28.5985        85.7955        0.79572       0.969805       0.861556        1.00483        1.00314       0.712741       0.962693
         12.725       0.169387        30.5399        91.6197       0.798501       0.971694        0.86975        1.00453        1.00295       0.728112       0.965016
        13.5888       0.169216        32.6131        97.8393        0.80143       0.973465       0.877493        1.00425        1.00277       0.742829       0.967196
        14.5113       0.169045         34.827        104.481        0.80451       0.975126       0.884808        1.00399         1.0026       0.756901       0.969241
        15.4964       0.168874        37.1912        111.574       0.807747       0.976685       0.891716        1.00375        1.00244       0.770343       0.971161
        16.5483       0.168704         39.716        119.148       0.811145       0.978149       0.898237        1.00352        1.00229       0.783167       0.972963
        17.6717       0.168533        42.4121        127.236       0.814707       0.979522       0.904392         1.0033        1.00215       0.795389       0.974655
        18.8713       0.168362        45.2912        135.874       0.818436       0.980811       0.910198         1.0031        1.00202       0.807026       0.976243
        20.1524       0.168191        48.3658        145.097       0.822336       0.982021       0.915674        1.00291        1.00189       0.818095       0.977735
        21.5204       0.168021        51.6491        154.947       0.826408       0.983157       0.920837        1.00273        1.00178       0.828615       0.979135
        22.9813        0.16785        55.1552        165.466       0.830654       0.984223       0.925704        1.00257        1.00167       0.838604       0.980449
        24.5414       0.167679        58.8994        176.698       0.835073       0.985224       0.930288        1.00241        1.00157        0.84808       0.981683
        26.2074       0.167508        62.8978        188.693       0.839665       0.986163       0.934605        1.00227        1.00147       0.857063       0.982841
        27.9865       0.167338        67.1676        201.503       0.844427       0.987044        0.93867        1.00213        1.00138        0.86557       0.983928
        29.8863       0.167167        71.7272        215.182       0.849357       0.987871       0.942495          1.002         1.0013       0.873621       0.984948
        31.9152       0.166996        76.5964        229.789       0.854449       0.988646       0.946092        1.00188        1.00122       0.881235       0.985904
        34.0817       0.166825        81.7961        245.388       0.859697       0.989373       0.949475        1.00176        1.00115       0.888428       0.986801
        36.3953       0.166654        87.3488        262.046       0.865092       0.990055       0.952654        1.00166        1.00108        0.89522       0.987643
         38.866       0.166484        93.2785        279.835       0.870625       0.990694        0.95564        1.00156        1.00101       0.901628       0.988431
        41.5044       0.166313        99.6106        298.832       0.876283       0.991292       0.958443        1.00146        1.00095       0.907668        0.98917
        44.3219       0.166142        106.373        319.118       0.882052       0.991853       0.961074        1.00137        1.00089       0.913358       0.989862
        47.3307       0.165971        113.594        340.781       0.887916       0.992377       0.963542        1.00129        1.00084       0.918713       0.990511
        50.5438       0.165801        121.305        363.915       0.893857       0.992868       0.965855        1.00121        1.00079       0.923751       0.991117
        53.9749        0.16563         129.54        388.619       0.899854       0.993328       0.968023        1.00114        1.00074       0.928486       0.991685
         57.639       0.165459        138.334        415.001       0.905884       0.993757       0.970053        1.00107        1.00069       0.932933       0.992216
        61.5518       0.165288        147.724        443.173       0.911923       0.994158       0.971954          1.001        1.00065       0.937108       0.992713
        65.7302       0.165118        157.752        473.257       0.917945       0.994533       0.973732        1.00094        1.00061       0.941023       0.993177
        70.1922       0.164947        168.461        505.384       0.923922       0.994883       0.975395        1.00089        1.00057       0.944694       0.993611
        74.9572       0.164776        179.897        539.692       0.929824        0.99521       0.976949        1.00083        1.00054       0.948133       0.994016
        80.0457       0.164605         192.11        576.329       0.935623       0.995515       0.978402        1.00078        1.00051       0.951353       0.994395
        85.4795       0.164434        205.151        615.453       0.941287       0.995799       0.979759        1.00074        1.00048       0.954367       0.994748
        91.2823       0.164264        219.077        657.232       0.946787       0.996064       0.981025        1.00069        1.00045       0.957186       0.995078
        97.4789       0.164093        233.949        701.848       0.952092       0.996311       0.982208        1.00065        1.00042       0.959822       0.995385
        104.096       0.163922        249.831        749.493       0.957175       0.996542       0.983311        1.00061         1.0004       0.962285       0.995672
        111.163       0.163751        266.791        800.372       0.962009       0.996756        0.98434        1.00057        1.00037       0.964586        0.99594
