        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
       0.737912              3       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.788005        3.20365       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.841498        3.42113       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.898623        3.65337       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.959626        3.90138       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.02477        4.16623       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.09434        4.44905       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.16862        4.75107       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.24796         5.0736       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.33267        5.41802       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.42314        5.78582       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.51975        6.17858       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.62292        6.59801       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.73309        7.04592       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.85074        7.52423       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.97638        8.03501       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.11054        8.58046       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.25381        9.16294       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.40681        9.78496       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         2.5702        10.4492       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.74468        11.1586       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
