        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        9.78496        0.17007        23.4839        70.4517       0.788206        0.14405     0.00403288      0.0176695      0.0751907    0.000479011      0.0343971
        10.4492       0.169899        25.0781        75.2343       0.790577       0.144742     0.00408836       0.017735      0.0749483    0.000493403      0.0344817
        11.1586       0.169728        26.7805        80.3416        0.79308       0.145434     0.00414265       0.017806      0.0747058    0.000507628      0.0345643
         11.916       0.169557        28.5985        85.7955        0.79572       0.146128     0.00419595      0.0178828      0.0744631    0.000521706      0.0346454
         12.725       0.169387        30.5399        91.6197       0.798501       0.146827     0.00424844      0.0179655      0.0742201    0.000535662      0.0347255
        13.5888       0.169216        32.6131        97.8393        0.80143       0.147532      0.0043003      0.0180544      0.0739767     0.00054952      0.0348053
        14.5113       0.169045         34.827        104.481        0.80451       0.148246     0.00435169      0.0181496      0.0737327    0.000563306      0.0348852
        15.4964       0.168874        37.1912        111.574       0.807747        0.14897     0.00440277      0.0182513      0.0734882    0.000577049      0.0349656
        16.5483       0.168704         39.716        119.148       0.811145       0.149706      0.0044537      0.0183598       0.073243    0.000590777       0.035047
        17.6717       0.168533        42.4121        127.236       0.814707       0.150455     0.00450461      0.0184751       0.072997    0.000604517      0.0351297
        18.8713       0.168362        45.2912        135.874       0.818436       0.151219     0.00455565      0.0185975      0.0727502    0.000618297       0.035214
        20.1524       0.168191        48.3658        145.097       0.822336       0.151998     0.00460693      0.0187271      0.0725026    0.000632144      0.0353002
        21.5204       0.168021        51.6491        154.947       0.826408       0.152794     0.00465856       0.018864      0.0722541    0.000646084      0.0353886
        22.9813        0.16785        55.1552        165.466       0.830654       0.153608     0.00471064      0.0190083      0.0720047     0.00066014      0.0354792
        24.5414       0.167679        58.8994        176.698       0.835073        0.15444     0.00476325      0.0191601      0.0717543    0.000674333      0.0355723
        26.2074       0.167508        62.8978        188.693       0.839665        0.15529     0.00481645      0.0193193       0.071503    0.000688682      0.0356678
        27.9865       0.167338        67.1676        201.503       0.844427       0.156158      0.0048703      0.0194859      0.0712509    0.000703204      0.0357659
        29.8863       0.167167        71.7272        215.182       0.849357       0.157045     0.00492482      0.0196598      0.0709978    0.000717909      0.0358664
        31.9152       0.166996        76.5964        229.789       0.854449       0.157951     0.00498001      0.0198409      0.0707439    0.000732805      0.0359693
        34.0817       0.166825        81.7961        245.388       0.859697       0.158873     0.00503588      0.0200289      0.0704892    0.000747894      0.0360743
        36.3953       0.166654        87.3488        262.046       0.865092       0.159812     0.00509238      0.0202236      0.0702338    0.000763174      0.0361813
         38.866       0.166484        93.2785        279.835       0.870625       0.160766     0.00514945      0.0204245      0.0699778    0.000778635      0.0362898
        41.5044       0.166313        99.6106        298.832       0.876283       0.161733     0.00520701      0.0206313      0.0697213    0.000794261      0.0363996
        44.3219       0.166142        106.373        319.118       0.882052       0.162712     0.00526494      0.0208433      0.0694644    0.000810031      0.0365101
        47.3307       0.165971        113.594        340.781       0.887916       0.163699      0.0053231      0.0210599      0.0692073    0.000825913      0.0366207
        50.5438       0.165801        121.305        363.915       0.893857       0.164693     0.00538133      0.0212804      0.0689502    0.000841869       0.036731
        53.9749        0.16563         129.54        388.619       0.899854       0.165691     0.00543942      0.0215038      0.0686931    0.000857852      0.0368401
         57.639       0.165459        138.334        415.001       0.905884       0.166688     0.00549716      0.0217293      0.0684364    0.000873809      0.0369475
        61.5518       0.165288        147.724        443.173       0.911923       0.167682     0.00555428      0.0219557      0.0681802    0.000889677      0.0370521
        65.7302       0.165118        157.752        473.257       0.917945       0.168668     0.00561053       0.022182      0.0679248    0.000905385      0.0371533
        70.1922       0.164947        168.461        505.384       0.923922       0.169642      0.0056656      0.0224069      0.0676703    0.000920854        0.03725
        74.9572       0.164776        179.897        539.692       0.929824         0.1706     0.00571918      0.0226291       0.067417    0.000936003      0.0373415
        80.0457       0.164605         192.11        576.329       0.935623       0.171537     0.00577093      0.0228472      0.0671652     0.00095074      0.0374266
        85.4795       0.164434        205.151        615.453       0.941287       0.172448     0.00582054      0.0230598      0.0669151    0.000964973      0.0375046
        91.2823       0.164264        219.077        657.232       0.946787        0.17333     0.00586767      0.0232656      0.0666669    0.000978608      0.0375745
        97.4789       0.164093        233.949        701.848       0.952092       0.174177     0.00591197      0.0234631      0.0664208    0.000991549      0.0376353
        104.096       0.163922        249.831        749.493       0.957175       0.174985     0.00595315       0.023651      0.0661771      0.0010037      0.0376864
