        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
        91.2823       0.164264        219.077        657.232       0.946787        0.17347     0.00587241      0.0232844      0.0667208      0.0009794      0.0376049
        97.4789       0.164093        233.949        701.848       0.952092       0.174304     0.00591629      0.0234802      0.0664693    0.000992272      0.0376628
        104.096       0.163922        249.831        749.493       0.957175       0.175099     0.00595704      0.0236664      0.0662203     0.00100436       0.037711
        111.163       0.163751        266.791        800.372       0.962009       0.175853     0.00599439      0.0238419      0.0659741     0.00101557      0.0377487
        118.709       0.163581        284.902        854.705        0.96657        0.17656     0.00602806      0.0240054       0.065731     0.00102584      0.0377754
        126.768        0.16341        304.242        912.726       0.970838       0.177219     0.00605786      0.0241559      0.0654909     0.00103508      0.0377905
        135.373       0.163239        324.895        974.686       0.974796       0.177827      0.0060836      0.0242927      0.0652541     0.00104325      0.0377936
        144.563       0.163068        346.951        1040.85       0.978431       0.178382     0.00610515      0.0244151      0.0650206      0.0010503      0.0377845
        154.376       0.162898        370.504        1111.51       0.981736       0.178883     0.00612247      0.0245226      0.0647905      0.0010562      0.0377631
        164.856       0.162727        395.655        1186.97       0.984709       0.179331     0.00613555      0.0246152      0.0645637     0.00106096      0.0377296
        176.047       0.162556        422.514        1267.54       0.987351       0.179724     0.00614445      0.0246929      0.0643401     0.00106458      0.0376842
        187.998       0.162385        451.196        1353.59        0.98967       0.180066      0.0061493      0.0247559      0.0641196     0.00106709      0.0376273
        200.761       0.162215        481.825        1445.48       0.991679       0.180358     0.00615028      0.0248049      0.0639021     0.00106854      0.0375594
        214.389       0.162044        514.534         1543.6       0.993396       0.180603     0.00614761      0.0248406      0.0636873     0.00106898      0.0374813
        228.943       0.161873        549.463        1648.39       0.994839       0.180803     0.00614157      0.0248638      0.0634751      0.0010685      0.0373938
        244.485       0.161702        586.763        1760.29       0.996034       0.180964     0.00613246      0.0248757      0.0632651     0.00106717      0.0372977
        261.081       0.161531        626.595        1879.79       0.997007       0.181089     0.00612062      0.0248774      0.0630572     0.00106509       0.037194
        278.805       0.161361        669.131        2007.39       0.997783       0.181181     0.00610636      0.0248701       0.062851     0.00106234      0.0370836
        297.731        0.16119        714.555        2143.66       0.998392       0.181247     0.00609003      0.0248551      0.0626463     0.00105901      0.0369674
        317.943       0.161019        763.062        2289.19       0.998858       0.181288     0.00607195      0.0248335      0.0624428     0.00105521      0.0368465
        339.526       0.160848        814.862        2444.59       0.999208       0.181311      0.0060524      0.0248065      0.0622403     0.00105099      0.0367215
        362.575       0.160678        870.179        2610.54       0.999464       0.181317     0.00603165      0.0247752      0.0620386     0.00104645      0.0365933
        387.188       0.160507        929.251        2787.75       0.999647        0.18131     0.00600995      0.0247403      0.0618375     0.00104163      0.0364626
        413.472       0.160336        992.333           2977       0.999774       0.181293     0.00598749      0.0247028      0.0616368     0.00103661      0.0363299
         441.54       0.160165         1059.7        3179.09       0.999859       0.181269     0.00596444      0.0246632      0.0614364     0.00103142      0.0361956
        471.514       0.159995        1131.63         3394.9       0.999915       0.181238     0.00594093      0.0246221      0.0612362      0.0010261      0.0360602
        503.523       0.159824        1208.45        3625.36       0.999951       0.181203     0.00591708      0.0245798      0.0610361     0.00102067      0.0359239
        537.704       0.159653        1290.49        3871.47       0.999972       0.181163     0.00589295      0.0245367      0.0608361     0.00101518       0.035787
        574.206       0.159482        1378.09        4134.28       0.999985       0.181122     0.00586861      0.0244931      0.0606361     0.00100962      0.0356496
        613.186       0.159311        1471.65        4414.94       0.999992       0.181077     0.00584411      0.0244489      0.0604361     0.00100401      0.0355118
        654.812       0.159141        1571.55        4714.64       0.999996       0.181031     0.00581948      0.0244044       0.060236     0.00099837      0.0353738
        699.263        0.15897        1678.23         5034.7       0.999998       0.180984     0.00579475      0.0243596       0.060036    0.000992703      0.0352357
        746.732       0.158799        1792.16        5376.47       0.999999       0.180935     0.00576994      0.0243145      0.0598358    0.000987016      0.0350973
        797.424       0.158628        1913.82        5741.45              1       0.180885     0.00574506      0.0242692      0.0596356    0.000981317      0.0349589
        851.557       0.158458        2043.74        6131.21              1       0.180833     0.00572014      0.0242236      0.0594354    0.000975609      0.0348203
        909.365       0.158287        2182.47        6547.42              1       0.180781     0.00569519      0.0241778      0.0592351    0.000969899      0.0346817
        971.096       0.158116        2330.63        6991.89              1       0.180727     0.00567021      0.0241318      0.0590347     0.00096419      0.0345431
        1037.02       0.157945        2488.85        7466.54              1       0.180673     0.00564522      0.0240855      0.0588342    0.000958486      0.0344044
        1107.42       0.157775         2657.8         7973.4              1       0.180618     0.00562023      0.0240391      0.0586337     0.00095279      0.0342657
        1182.59       0.157604        2838.22        8514.67              1       0.180561     0.00559524      0.0239923      0.0584332    0.000947105       0.034127
        1262.87       0.157433         3030.9        9092.69              1       0.180505     0.00557025      0.0239454      0.0582325    0.000941432      0.0339883
         1348.6       0.157262        3236.65        9709.94              1       0.180447     0.00554527      0.0238982      0.0580319    0.000935772      0.0338497
        1440.15       0.157091        3456.36        10369.1              1       0.180388      0.0055203      0.0238507      0.0578311    0.000930126       0.033711
        1537.92       0.156921           3691          11073              1       0.180329     0.00549534      0.0238031      0.0576303    0.000924493      0.0335724
        1642.32        0.15675        3941.56        11824.7              1       0.180269     0.00547039      0.0237552      0.0574295    0.000918874      0.0334338
        1753.81       0.156579        4209.13        12627.4              1       0.180207     0.00544545       0.023707      0.0572286    0.000913267      0.0332952
        1872.86       0.156408        4494.87        13484.6              1       0.180146     0.00542051      0.0236587      0.0570276    0.000907672      0.0331566
           2000       0.156238           4800          14400              1       0.180083     0.00539558      0.0236101      0.0568266    0.000902086       0.033018
