        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        59.9867        244.485       0.176726     0.00483043      0.0233079      0.0554564    0.000723844       0.031391
        64.0691        261.081       0.176914     0.00485483      0.0233042      0.0554507    0.000732189      0.0314315
        68.4287        278.805       0.177089     0.00487771      0.0233007      0.0554453    0.000740065      0.0314694
        73.0843        297.731       0.177253     0.00489916      0.0232975      0.0554404    0.000747493      0.0315049
        78.0558        317.943       0.177406     0.00491926      0.0232945      0.0554357    0.000754497       0.031538
        83.3648        339.526       0.177548     0.00493811      0.0232916      0.0554314    0.000761096      0.0315689
        89.0342        362.575       0.177682     0.00495577       0.023289      0.0554273    0.000767312      0.0315978
        95.0885        387.188       0.177807     0.00497232      0.0232865      0.0554235    0.000773165      0.0316249
        101.554        413.472       0.177923     0.00498783      0.0232842      0.0554199    0.000778673      0.0316502
        108.458         441.54       0.178032     0.00500237       0.023282      0.0554166    0.000783856      0.0316738
        115.831        471.514       0.178134     0.00501599        0.02328      0.0554135     0.00078873      0.0316959
        123.704        503.523       0.178229     0.00502875      0.0232781      0.0554106    0.000793313      0.0317166
        132.112        537.704       0.178319     0.00504071      0.0232763      0.0554079    0.000797621      0.0317359
         141.09        574.206       0.178402     0.00505192      0.0232747      0.0554054     0.00080167       0.031754
        150.678        613.186        0.17848     0.00506241      0.0232731       0.055403    0.000805474      0.0317709
        160.917        654.812       0.178553     0.00507225      0.0232717      0.0554008    0.000809047      0.0317868
        171.851        699.263       0.178621     0.00508146      0.0232703      0.0553987    0.000812403      0.0318016
        183.527        746.732       0.178685     0.00509009      0.0232691      0.0553967    0.000815554      0.0318155
        195.995        797.424       0.178745     0.00509818      0.0232679      0.0553949    0.000818512      0.0318284
        209.311        851.557         0.1788     0.00510576      0.0232668      0.0553932    0.000821289      0.0318406
         223.53        909.365       0.178853     0.00511285      0.0232658      0.0553916    0.000823896      0.0318519
        238.714        971.096       0.178902      0.0051195      0.0232648      0.0553901    0.000826342      0.0318626
        254.929        1037.02       0.178947     0.00512573      0.0232639      0.0553887    0.000828636      0.0318725
        272.245        1107.42        0.17899     0.00513156       0.023263      0.0553874    0.000830789      0.0318818
        290.736        1182.59        0.17903     0.00513702      0.0232622      0.0553862    0.000832807      0.0318906
        310.482        1262.87       0.179068     0.00514213      0.0232615       0.055385    0.000834698      0.0318987
        331.569         1348.6       0.179103     0.00514691      0.0232608       0.055384     0.00083647      0.0319063
        354.088        1440.15       0.179136     0.00515139      0.0232601       0.055383     0.00083813      0.0319135
        378.135        1537.92       0.179166     0.00515557      0.0232595       0.055382    0.000839684      0.0319201
        403.815        1642.32       0.179195     0.00515949       0.023259      0.0553812     0.00084114      0.0319264
        431.237        1753.81       0.179222     0.00516316      0.0232584      0.0553803    0.000842504      0.0319322
        460.522        1872.86       0.179247     0.00516659      0.0232579      0.0553796    0.000843784      0.0319376
        491.794           2000        0.17927     0.00516982      0.0232575      0.0553789    0.000844986      0.0319428
