        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
              3       0.173144            7.2            7.2       0.762394      0.0848225    0.000757395      0.0181262      0.0823986    2.60013e-05      0.0189685
        3.20365       0.172973        7.68877        7.68877       0.763213      0.0876903    0.000826661       0.018086      0.0820266    2.96215e-05      0.0197325
        3.42113       0.172802        8.21072        8.21072       0.764084      0.0905924    0.000900927      0.0180476      0.0816538    3.37102e-05       0.020502
        3.65337       0.172631         8.7681         8.7681       0.765011       0.093516    0.000980255      0.0180112       0.081281    3.83144e-05      0.0212733
        3.90138       0.172461        9.36332        9.36332       0.765997      0.0964472     0.00106465      0.0179772      0.0809087    4.34824e-05      0.0220425
        4.16623        0.17229        9.99894        9.99894       0.767045      0.0993713     0.00115404      0.0179461      0.0805379    4.92629e-05      0.0228054
        4.44905       0.172119        10.6777        10.6777       0.768159       0.102273     0.00124829      0.0179183      0.0801693    5.57037e-05       0.023558
        4.75107       0.171948        11.4026        11.4026       0.769342       0.105137     0.00134719      0.0178942      0.0798035    6.28511e-05      0.0242961
         5.0736       0.171777        12.1766        12.1766         0.7706       0.107948     0.00145044      0.0178741      0.0794415    7.07481e-05      0.0250154
        5.41802       0.171607        13.0032        13.0032       0.771935       0.110693     0.00155768      0.0178586      0.0790838    7.94331e-05      0.0257123
        5.78582       0.171436         13.886         13.886       0.773352       0.113357     0.00166847       0.017848       0.078731     8.8939e-05      0.0263832
        6.17858       0.171265        14.8286        14.8286       0.774856        0.11593     0.00178231      0.0178427      0.0783836    9.92916e-05      0.0270252
        6.59801       0.171094        15.8352        15.8352       0.776451       0.118403     0.00189864       0.017843      0.0780421    0.000110508      0.0276358
        7.04592       0.170924        16.9102        16.9102       0.778142       0.120768      0.0020169      0.0178493      0.0777066    0.000122598      0.0282135
        7.52423       0.170753        18.0581        18.0581       0.779933       0.123022     0.00213647      0.0178618      0.0773774    0.000135559       0.028757
        8.03501       0.170582         19.284         19.284        0.78183       0.125163     0.00225676      0.0178808      0.0770543    0.000149381       0.029266
        8.58046       0.170411        20.5931        20.5931       0.783838       0.127191      0.0023772      0.0179064      0.0767374    0.000164042       0.029741
        9.16294       0.170241        21.9911        21.9911       0.785961        0.12911     0.00249724      0.0179389      0.0764263    0.000179513      0.0301829
        9.78496        0.17007        23.4839        23.4839       0.788206       0.130925     0.00261641      0.0179783      0.0761206    0.000195754      0.0305932
        10.4492       0.169899        25.0781        25.0781       0.790577       0.132642     0.00273428      0.0180248      0.0758201    0.000212719      0.0309739
        11.1586       0.169728        26.7805        26.7805        0.79308        0.13427     0.00285049      0.0180784      0.0755242    0.000230356      0.0313271
         11.916       0.169557        28.5985        28.5985        0.79572       0.135818     0.00296478      0.0181393      0.0752324     0.00024861      0.0316553
         12.725       0.169387        30.5399        30.5399       0.798501       0.137294     0.00307695      0.0182075      0.0749442    0.000267421      0.0319611
        13.5888       0.169216        32.6131        32.6131        0.80143       0.138708     0.00318687       0.018283      0.0746592    0.000286729      0.0322468
        14.5113       0.169045         34.827         34.827        0.80451       0.140068     0.00329447       0.018366      0.0743768    0.000306476       0.032515
        15.4964       0.168874        37.1912        37.1912       0.807747       0.141383     0.00339976      0.0184565      0.0740966    0.000326605      0.0327677
        16.5483       0.168704         39.716         39.716       0.811145       0.142661     0.00350277      0.0185545      0.0738183    0.000347064      0.0330071
        17.6717       0.168533        42.4121        42.4121       0.814707       0.143906     0.00360358      0.0186603      0.0735415    0.000367803       0.033235
        18.8713       0.168362        45.2912        45.2912       0.818436       0.145127     0.00370231      0.0187737      0.0732658    0.000388779       0.033453
        20.1524       0.168191        48.3658        48.3658       0.822336       0.146328     0.00379908       0.018895      0.0729911    0.000409956      0.0336624
