        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS   phi/pi_toGCE
        47.3307       0.165971        113.594         181.75       0.887916        1.01426
        50.5438       0.165801        121.305        194.088       0.893857        1.01339
        53.9749        0.16563         129.54        207.264       0.899854        1.01257
         57.639       0.165459        138.334        221.334       0.905884         1.0118
        61.5518       0.165288        147.724        236.359       0.911923        1.01108
        65.7302       0.165118        157.752        252.404       0.917945        1.01041
        70.1922       0.164947        168.461        269.538       0.923922        1.00978
        74.9572       0.164776        179.897        287.836       0.929824        1.00919
        80.0457       0.164605         192.11        307.375       0.935623        1.00863
        85.4795       0.164434        205.151        328.241       0.941287        1.00811
        91.2823       0.164264        219.077        350.524       0.946787        1.00762
        97.4789       0.164093        233.949        374.319       0.952092        1.00716
        104.096       0.163922        249.831         399.73       0.957175        1.00673
        111.163       0.163751        266.791        426.865       0.962009        1.00633
        118.709       0.163581        284.902        455.843        0.96657        1.00595
        126.768        0.16341        304.242        486.787       0.970838         1.0056
        135.373       0.163239        324.895        519.833       0.974796        1.00527
        144.563       0.163068        346.951        555.121       0.978431        1.00495
        154.376       0.162898        370.504        592.806       0.981736        1.00466
        164.856       0.162727        395.655        633.048       0.984709        1.00439
        176.047       0.162556        422.514        676.022       0.987351        1.00413
        187.998       0.162385        451.196        721.914        0.98967        1.00389
        200.761       0.162215        481.825        770.921       0.991679        1.00366
        214.389       0.162044        514.534        823.254       0.993396        1.00345
        228.943       0.161873        549.463        879.141       0.994839        1.00325
        244.485       0.161702        586.763        938.821       0.996034        1.00306
        261.081       0.161531        626.595        1002.55       0.997007        1.00288
        278.805       0.161361        669.131        1070.61       0.997783        1.00271
        297.731        0.16119        714.555        1143.29       0.998392        1.00255
        317.943       0.161019        763.062         1220.9       0.998858         1.0024
        339.526       0.160848        814.862        1303.78       0.999208        1.00226
        362.575       0.160678        870.179        1392.29       0.999464        1.00213
        387.188       0.160507        929.251         1486.8       0.999647          1.002
        413.472       0.160336        992.333        1587.73       0.999774        1.00188
         441.54       0.160165         1059.7        1695.51       0.999859        1.00177
        471.514       0.159995        1131.63        1810.61       0.999915        1.00167
        503.523       0.159824        1208.45        1933.53       0.999951        1.00157
        537.704       0.159653        1290.49        2064.78       0.999972        1.00147
        574.206       0.159482        1378.09        2204.95       0.999985        1.00139
        613.186       0.159311        1471.65        2354.63       0.999992        1.00131
        654.812       0.159141        1571.55        2514.48       0.999996        1.00123
        699.263        0.15897        1678.23        2685.17       0.999998        1.00117
        746.732       0.158799        1792.16        2867.45       0.999999         1.0011
        797.424       0.158628        1913.82        3062.11              1        1.00104
        851.557       0.158458        2043.74        3269.98              1        1.00099
        909.365       0.158287        2182.47        3491.96              1        1.00094
        971.096       0.158116        2330.63        3729.01              1        1.00089
        1037.02       0.157945        2488.85        3982.15              1        1.00085
        1107.42       0.157775         2657.8        4252.48              1         1.0008
        1182.59       0.157604        2838.22        4541.16              1        1.00076
        1262.87       0.157433         3030.9        4849.43              1        1.00073
         1348.6       0.157262        3236.65        5178.63              1        1.00069
        1440.15       0.157091        3456.36        5530.18              1        1.00065
        1537.92       0.156921           3691         5905.6              1        1.00062
        1642.32        0.15675        3941.56         6306.5              1        1.00058
        1753.81       0.156579        4209.13        6734.61              1        1.00055
        1872.86       0.156408        4494.87        7191.79              1        1.00052
           2000       0.156238           4800           7680              1        1.00048
