        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
        85.4795       0.164434        205.151        205.151       0.941287       0.172166     0.00555872      0.0233657      0.0648378    0.000881544      0.0365491
        91.2823       0.164264        219.077        219.077       0.946787       0.173066     0.00562023      0.0235548       0.064715    0.000899285       0.036674
        97.4789       0.164093        233.949        233.949       0.952092       0.173929     0.00567813      0.0237363      0.0645861    0.000916171      0.0367864
        104.096       0.163922        249.831        249.831       0.957175       0.174751     0.00573216       0.023909      0.0644518    0.000932113      0.0368857
        111.163       0.163751        266.791        266.791       0.962009       0.175529     0.00578207      0.0240715       0.064313    0.000947032      0.0369715
        118.709       0.163581        284.902        284.902        0.96657       0.176259     0.00582764      0.0242226      0.0641702    0.000960851      0.0370433
        126.768        0.16341        304.242        304.242       0.970838       0.176939     0.00586869      0.0243614      0.0640241    0.000973508      0.0371008
        135.373       0.163239        324.895        324.895       0.974796       0.177566     0.00590509       0.024487      0.0638752    0.000984949      0.0371439
        144.563       0.163068        346.951        346.951       0.978431       0.178138     0.00593674      0.0245987      0.0637241    0.000995136      0.0371724
        154.376       0.162898        370.504        370.504       0.981736       0.178656     0.00596361      0.0246961       0.063571     0.00100405      0.0371863
        164.856       0.162727        395.655        395.655       0.984709       0.179118     0.00598573       0.024779      0.0634164     0.00101168      0.0371861
        176.047       0.162556        422.514        422.514       0.987351       0.179525     0.00600319      0.0248475      0.0632605     0.00101804      0.0371719
        187.998       0.162385        451.196        451.196        0.98967       0.179879     0.00601612      0.0249018      0.0631035     0.00102317      0.0371445
        200.761       0.162215        481.825        481.825       0.991679       0.180183     0.00602473      0.0249424      0.0629454      0.0010271      0.0371043
        214.389       0.162044        514.534        514.534       0.993396       0.180438     0.00602926      0.0249702      0.0627865     0.00102992      0.0370523
        228.943       0.161873        549.463        549.463       0.994839       0.180648     0.00603001      0.0249859      0.0626267     0.00103167      0.0369893
        244.485       0.161702        586.763        586.763       0.996034       0.180818      0.0060273      0.0249907      0.0624659     0.00103247      0.0369162
        261.081       0.161531        626.595        626.595       0.997007        0.18095     0.00602148      0.0249857      0.0623042     0.00103239      0.0368342
        278.805       0.161361        669.131        669.131       0.997783        0.18105     0.00601289      0.0249721      0.0621415     0.00103153      0.0367443
        297.731        0.16119        714.555        714.555       0.998392       0.181122     0.00600189      0.0249512      0.0619777     0.00102999      0.0366474
        317.943       0.161019        763.062        763.062       0.998858       0.181171     0.00598882      0.0249239      0.0618127     0.00102786      0.0365445
        339.526       0.160848        814.862        814.862       0.999208       0.181199     0.00597399      0.0248916      0.0616464     0.00102524      0.0364366
        362.575       0.160678        870.179        870.179       0.999464       0.181211     0.00595771      0.0248553      0.0614787     0.00102219      0.0363245
        387.188       0.160507        929.251        929.251       0.999647       0.181209     0.00594021      0.0248157      0.0613096     0.00101879       0.036209
        413.472       0.160336        992.333        992.333       0.999774       0.181197     0.00592173      0.0247737      0.0611392      0.0010151      0.0360905
         441.54       0.160165         1059.7         1059.7       0.999859       0.181178     0.00590245      0.0247299      0.0609672     0.00101118      0.0359698
        471.514       0.159995        1131.63        1131.63       0.999915       0.181152     0.00588252      0.0246848      0.0607938     0.00100707      0.0358471
        503.523       0.159824        1208.45        1208.45       0.999951       0.181121     0.00586206      0.0246388      0.0606189     0.00100279      0.0357229
        537.704       0.159653        1290.49        1290.49       0.999972       0.181086     0.00584117      0.0245922      0.0604427    0.000998385      0.0355974
        574.206       0.159482        1378.09        1378.09       0.999985       0.181048     0.00581991      0.0245451      0.0602651    0.000993865      0.0354709
        613.186       0.159311        1471.65        1471.65       0.999992       0.181009     0.00579833      0.0244978      0.0600861    0.000989248      0.0353434
        654.812       0.159141        1571.55        1571.55       0.999996       0.180967     0.00577649      0.0244503      0.0599059    0.000984547      0.0352151
        699.263        0.15897        1678.23        1678.23       0.999998       0.180923      0.0057544      0.0244027      0.0597246    0.000979771      0.0350861
        746.732       0.158799        1792.16        1792.16       0.999999       0.180878      0.0057321      0.0243549      0.0595421    0.000974929      0.0349564
        797.424       0.158628        1913.82        1913.82              1       0.180831      0.0057096      0.0243071      0.0593585    0.000970028      0.0348262
        851.557       0.158458        2043.74        2043.74              1       0.180784     0.00568692      0.0242592      0.0591739    0.000965073      0.0346954
        909.365       0.158287        2182.47        2182.47              1       0.180735     0.00566408      0.0242112      0.0589884     0.00096007      0.0345641
        971.096       0.158116        2330.63        2330.63              1       0.180685     0.00564108      0.0241631       0.058802    0.000955024      0.0344324
        1037.02       0.157945        2488.85        2488.85              1       0.180634     0.00561795       0.024115      0.0586147    0.000949939      0.0343002
        1107.42       0.157775         2657.8         2657.8              1       0.180582     0.00559469      0.0240668      0.0584267    0.000944819      0.0341677
        1182.59       0.157604        2838.22        2838.22              1       0.180529     0.00557131      0.0240185      0.0582379    0.000939668      0.0340348
        1262.87       0.157433         3030.9         3030.9              1       0.180475     0.00554782        0.02397      0.0580484    0.000934487      0.0339015
         1348.6       0.157262        3236.65        3236.65              1        0.18042     0.00552422      0.0239215      0.0578582     0.00092928      0.0337679
        1440.15       0.157091        3456.36        3456.36              1       0.180364     0.00550052      0.0238728      0.0576674    0.000924047       0.033634
        1537.92       0.156921           3691           3691              1       0.180307     0.00547673       0.023824      0.0574759     0.00091879      0.0334998
        1642.32        0.15675        3941.56        3941.56              1       0.180248     0.00545284       0.023775      0.0572839    0.000913511      0.0333654
        1753.81       0.156579        4209.13        4209.13              1       0.180189     0.00542886      0.0237259      0.0570914    0.000908209      0.0332306
        1872.86       0.156408        4494.87        4494.87              1       0.180128      0.0054048      0.0236766      0.0568983    0.000902885      0.0330956
           2000       0.156238           4800           4800              1       0.180066     0.00538065      0.0236271      0.0567048    0.000897541      0.0329604
