        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS   phi/pi_toGCE
        278.805       0.161361        669.131        669.131       0.997783        1.00435
        297.731        0.16119        714.555        714.555       0.998392        1.00409
        317.943       0.161019        763.062        763.062       0.998858        1.00386
        339.526       0.160848        814.862        814.862       0.999208        1.00363
        362.575       0.160678        870.179        870.179       0.999464        1.00342
        387.188       0.160507        929.251        929.251       0.999647        1.00322
        413.472       0.160336        992.333        992.333       0.999774        1.00304
         441.54       0.160165         1059.7         1059.7       0.999859        1.00286
        471.514       0.159995        1131.63        1131.63       0.999915         1.0027
        503.523       0.159824        1208.45        1208.45       0.999951        1.00254
        537.704       0.159653        1290.49        1290.49       0.999972        1.00239
        574.206       0.159482        1378.09        1378.09       0.999985        1.00225
        613.186       0.159311        1471.65        1471.65       0.999992        1.00212
        654.812       0.159141        1571.55        1571.55       0.999996        1.00199
        699.263        0.15897        1678.23        1678.23       0.999998        1.00187
        746.732       0.158799        1792.16        1792.16       0.999999        1.00176
        797.424       0.158628        1913.82        1913.82              1        1.00166
        851.557       0.158458        2043.74        2043.74              1        1.00156
        909.365       0.158287        2182.47        2182.47              1        1.00147
        971.096       0.158116        2330.63        2330.63              1        1.00138
        1037.02       0.157945        2488.85        2488.85              1         1.0013
        1107.42       0.157775         2657.8         2657.8              1        1.00123
        1182.59       0.157604        2838.22        2838.22              1        1.00116
        1262.87       0.157433         3030.9         3030.9              1         1.0011
         1348.6       0.157262        3236.65        3236.65              1        1.00104
        1440.15       0.157091        3456.36        3456.36              1        1.00099
        1537.92       0.156921           3691           3691              1        1.00094
        1642.32        0.15675        3941.56        3941.56              1        1.00089
        1753.81       0.156579        4209.13        4209.13              1        1.00084
        1872.86       0.156408        4494.87        4494.87              1         1.0008
           2000       0.156238           4800           4800              1        1.00076
