        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS   phi/pi_toGCE
              3       0.173144            7.2           21.6       0.762394        1.12334
        3.20365       0.172973        7.68877        23.0663       0.763213        1.11388
        3.42113       0.172802        8.21072        24.6322       0.764084        1.10526
        3.65337       0.172631         8.7681        26.3043       0.765011         1.0974
        3.90138       0.172461        9.36332          28.09       0.765997        1.09023
        4.16623        0.17229        9.99894        29.9968       0.767045        1.08369
        4.44905       0.172119        10.6777        32.0332       0.768159        1.07771
        4.75107       0.171948        11.4026        34.2077       0.769342        1.07224
         5.0736       0.171777        12.1766        36.5299         0.7706        1.06722
        5.41802       0.171607        13.0032        39.0097       0.771935        1.06261
        5.78582       0.171436         13.886        41.6579       0.773352        1.05838
        6.17858       0.171265        14.8286        44.4858       0.774856        1.05447
        6.59801       0.171094        15.8352        47.5057       0.776451        1.05087
        7.04592       0.170924        16.9102        50.7306       0.778142        1.04754
        7.52423       0.170753        18.0581        54.1744       0.779933        1.04445
        8.03501       0.170582         19.284         57.852        0.78183        1.04158
        8.58046       0.170411        20.5931        61.7793       0.783838        1.03892
        9.16294       0.170241        21.9911        65.9732       0.785961        1.03645
        9.78496        0.17007        23.4839        70.4517       0.788206        1.03414
        10.4492       0.169899        25.0781        75.2343       0.790577          1.032
        11.1586       0.169728        26.7805        80.3416        0.79308        1.02999
         11.916       0.169557        28.5985        85.7955        0.79572        1.02812
         12.725       0.169387        30.5399        91.6197       0.798501        1.02638
        13.5888       0.169216        32.6131        97.8393        0.80143        1.02474
        14.5113       0.169045         34.827        104.481        0.80451        1.02321
        15.4964       0.168874        37.1912        111.574       0.807747        1.02178
        16.5483       0.168704         39.716        119.148       0.811145        1.02045
        17.6717       0.168533        42.4121        127.236       0.814707        1.01919
        18.8713       0.168362        45.2912        135.874       0.818436        1.01802
        20.1524       0.168191        48.3658        145.097       0.822336        1.01692
        21.5204       0.168021        51.6491        154.947       0.826408        1.01588
        22.9813        0.16785        55.1552        165.466       0.830654        1.01492
        24.5414       0.167679        58.8994        176.698       0.835073        1.01401
        26.2074       0.167508        62.8978        188.693       0.839665        1.01316
        27.9865       0.167338        67.1676        201.503       0.844427        1.01236
