        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS   phi/pi_toGCE
        29.8863       0.167167        71.7272        215.182       0.849357        1.01161
        31.9152       0.166996        76.5964        229.789       0.854449        1.01091
        34.0817       0.166825        81.7961        245.388       0.859697        1.01024
        36.3953       0.166654        87.3488        262.046       0.865092        1.00962
         38.866       0.166484        93.2785        279.835       0.870625        1.00904
        41.5044       0.166313        99.6106        298.832       0.876283         1.0085
        44.3219       0.166142        106.373        319.118       0.882052        1.00798
        47.3307       0.165971        113.594        340.781       0.887916         1.0075
        50.5438       0.165801        121.305        363.915       0.893857        1.00705
        53.9749        0.16563         129.54        388.619       0.899854        1.00662
         57.639       0.165459        138.334        415.001       0.905884        1.00622
        61.5518       0.165288        147.724        443.173       0.911923        1.00585
        65.7302       0.165118        157.752        473.257       0.917945         1.0055
        70.1922       0.164947        168.461        505.384       0.923922        1.00517
        74.9572       0.164776        179.897        539.692       0.929824        1.00486
        80.0457       0.164605         192.11        576.329       0.935623        1.00457
        85.4795       0.164434        205.151        615.453       0.941287        1.00429
        91.2823       0.164264        219.077        657.232       0.946787        1.00404
        97.4789       0.164093        233.949        701.848       0.952092         1.0038
        104.096       0.163922        249.831        749.493       0.957175        1.00357
        111.163       0.163751        266.791        800.372       0.962009        1.00336
        118.709       0.163581        284.902        854.705        0.96657        1.00316
        126.768        0.16341        304.242        912.726       0.970838        1.00297
        135.373       0.163239        324.895        974.686       0.974796         1.0028
        144.563       0.163068        346.951        1040.85       0.978431        1.00263
        154.376       0.162898        370.504        1111.51       0.981736        1.00248
        164.856       0.162727        395.655        1186.97       0.984709        1.00233
        176.047       0.162556        422.514        1267.54       0.987351        1.00219
        187.998       0.162385        451.196        1353.59        0.98967        1.00206
        200.761       0.162215        481.825        1445.48       0.991679        1.00194
        214.389       0.162044        514.534         1543.6       0.993396        1.00182
        228.943       0.161873        549.463        1648.39       0.994839        1.00171
        244.485       0.161702        586.763        1760.29       0.996034        1.00161
        261.081       0.161531        626.595        1879.79       0.997007        1.00151
        278.805       0.161361        669.131        2007.39       0.997783        1.00142
        297.731        0.16119        714.555        2143.66       0.998392        1.00134
        317.943       0.161019        763.062        2289.19       0.998858        1.00126
        339.526       0.160848        814.862        2444.59       0.999208        1.00119
        362.575       0.160678        870.179        2610.54       0.999464        1.00113
        387.188       0.160507        929.251        2787.75       0.999647        1.00107
        413.472       0.160336        992.333           2977       0.999774        1.00101
         441.54       0.160165         1059.7        3179.09       0.999859        1.00096
        471.514       0.159995        1131.63         3394.9       0.999915        1.00091
        503.523       0.159824        1208.45        3625.36       0.999951        1.00086
        537.704       0.159653        1290.49        3871.47       0.999972        1.00082
        574.206       0.159482        1378.09        4134.28       0.999985        1.00078
        613.186       0.159311        1471.65        4414.94       0.999992        1.00074
        654.812       0.159141        1571.55        4714.64       0.999996         1.0007
        699.263        0.15897        1678.23         5034.7       0.999998        1.00067
        746.732       0.158799        1792.16        5376.47       0.999999        1.00063
        797.424       0.158628        1913.82        5741.45              1         1.0006
        851.557       0.158458        2043.74        6131.21              1        1.00056
        909.365       0.158287        2182.47        6547.42              1        1.00053
        971.096       0.158116        2330.63        6991.89              1         1.0005
        1037.02       0.157945        2488.85        7466.54              1        1.00047
        1107.42       0.157775         2657.8         7973.4              1        1.00043
        1182.59       0.157604        2838.22        8514.67              1         1.0004
        1262.87       0.157433         3030.9        9092.69              1        1.00037
         1348.6       0.157262        3236.65        9709.94              1        1.00035
        1440.15       0.157091        3456.36        10369.1              1        1.00032
        1537.92       0.156921           3691          11073              1        1.00029
        1642.32        0.15675        3941.56        11824.7              1        1.00027
        1753.81       0.156579        4209.13        12627.4              1        1.00024
        1872.86       0.156408        4494.87        13484.6              1        1.00022
           2000       0.156238           4800          14400              1         1.0002
