        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
              3       0.173144            7.2            7.2       0.762394      0.0845083    0.000754589      0.0180591      0.0820933     2.5905e-05      0.0188982
        3.20365       0.172973        7.68877        7.68877       0.763213      0.0873675    0.000823618      0.0180195      0.0817247    2.95125e-05      0.0196599
        3.42113       0.172802        8.21072        8.21072       0.764084      0.0902612    0.000897633      0.0179816      0.0813553    3.35869e-05       0.020427
        3.65337       0.172631         8.7681         8.7681       0.765011      0.0931765    0.000976696      0.0179458      0.0809858    3.81752e-05       0.021196
        3.90138       0.172461        9.36332        9.36332       0.765997      0.0960996     0.00106081      0.0179124      0.0806171    4.33256e-05       0.021963
        4.16623        0.17229        9.99894        9.99894       0.767045      0.0990157     0.00114991      0.0178819      0.0802498    4.90866e-05      0.0227239
        4.44905       0.172119        10.6777        10.6777       0.768159        0.10191     0.00124386      0.0178547      0.0798846     5.5506e-05      0.0234744
        4.75107       0.171948        11.4026        11.4026       0.769342       0.104767     0.00134244      0.0178311      0.0795225    6.26298e-05      0.0242105
         5.0736       0.171777        12.1766        12.1766         0.7706       0.107571     0.00144537      0.0178117       0.079164    7.05009e-05       0.024928
        5.41802       0.171607        13.0032        13.0032       0.771935       0.110309     0.00155228      0.0177967      0.0788098     7.9158e-05      0.0256232
        5.78582       0.171436         13.886         13.886       0.773352       0.112968     0.00166274      0.0177867      0.0784606    8.86336e-05      0.0262926
        6.17858       0.171265        14.8286        14.8286       0.774856       0.115536     0.00177624       0.017782      0.0781169    9.89538e-05      0.0269332
        6.59801       0.171094        15.8352        15.8352       0.776451       0.118004     0.00189224      0.0177829       0.077779    0.000110136      0.0275427
        7.04592       0.170924        16.9102        16.9102       0.778142       0.120365     0.00201016      0.0177897      0.0774472    0.000122189      0.0281193
        7.52423       0.170753        18.0581        18.0581       0.779933       0.122616     0.00212941      0.0178028      0.0771216    0.000135111      0.0286619
        8.03501       0.170582         19.284         19.284        0.78183       0.124753     0.00224938      0.0178223      0.0768023    0.000148892      0.0291703
        8.58046       0.170411        20.5931        20.5931       0.783838       0.126779     0.00236951      0.0178485       0.076489    0.000163511      0.0296448
        9.16294       0.170241        21.9911        21.9911       0.785961       0.128697     0.00248925      0.0178815      0.0761817    0.000178938      0.0300864
        9.78496        0.17007        23.4839        23.4839       0.788206        0.13051     0.00260814      0.0179215      0.0758799    0.000195134      0.0304965
        10.4492       0.169899        25.0781        25.0781       0.790577       0.132228     0.00272574      0.0179685      0.0755832    0.000212054      0.0308771
        11.1586       0.169728        26.7805        26.7805        0.79308       0.133856      0.0028417      0.0180227      0.0752913    0.000229646      0.0312305
         11.916       0.169557        28.5985        28.5985        0.79572       0.135405     0.00295577      0.0180841      0.0750035    0.000247854       0.031559
         12.725       0.169387        30.5399        30.5399       0.798501       0.136882     0.00306773      0.0181529      0.0747195    0.000266619      0.0318652
        13.5888       0.169216        32.6131        32.6131        0.80143       0.138298     0.00317746       0.018229      0.0744386    0.000285882      0.0321516
        14.5113       0.169045         34.827         34.827        0.80451       0.139661      0.0032849      0.0183126      0.0741606    0.000305585      0.0324204
        15.4964       0.168874        37.1912        37.1912       0.807747       0.140979     0.00339004      0.0184037      0.0738848    0.000325672      0.0326741
        16.5483       0.168704         39.716         39.716       0.811145        0.14226     0.00349293      0.0185024      0.0736111    0.000346089      0.0329145
        17.6717       0.168533        42.4121        42.4121       0.814707        0.14351     0.00359366      0.0186089      0.0733389     0.00036679      0.0331435
