        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        85.4795       0.164434        205.151        205.151       0.941287       0.173176     0.00594079      0.0230429      0.0668832     0.00101111      0.0377026
        91.2823       0.164264        219.077        219.077       0.946787       0.174015     0.00598116      0.0232495      0.0666371     0.00102238      0.0377603
        97.4789       0.164093        233.949        233.949       0.952092       0.174822     0.00601907      0.0234479      0.0663929     0.00103306      0.0378098
        104.096       0.163922        249.831        249.831       0.957175       0.175592     0.00605419      0.0236366      0.0661509     0.00104304      0.0378502
        111.163       0.163751        266.791        266.791       0.962009       0.176323     0.00608622      0.0238144      0.0659114     0.00105225      0.0378806
        118.709       0.163581        284.902        284.902        0.96657       0.177009     0.00611488      0.0239802      0.0656745      0.0010606      0.0379005
        126.768        0.16341        304.242        304.242       0.970838       0.177648     0.00613992      0.0241329      0.0654403     0.00106801      0.0379093
        135.373       0.163239        324.895        324.895       0.974796       0.178237     0.00616117      0.0242717      0.0652089     0.00107442      0.0379064
        144.563       0.163068        346.951        346.951       0.978431       0.178774     0.00617848       0.024396      0.0649803      0.0010798      0.0378917
        154.376       0.162898        370.504        370.504       0.981736       0.179259     0.00619177      0.0245054      0.0647547     0.00108411      0.0378651
        164.856       0.162727        395.655        395.655       0.984709        0.17969     0.00620104      0.0245997       0.064532     0.00108734      0.0378265
        176.047       0.162556        422.514        422.514       0.987351       0.180068     0.00620632      0.0246789      0.0643121      0.0010895      0.0377763
        187.998       0.162385        451.196        451.196        0.98967       0.180395     0.00620773      0.0247433      0.0640949     0.00109062      0.0377148
        200.761       0.162215        481.825        481.825       0.991679       0.180672     0.00620543      0.0247935      0.0638802     0.00109073      0.0376425
        214.389       0.162044        514.534        514.534       0.993396       0.180902     0.00619964      0.0248303       0.063668     0.00108991      0.0375601
        228.943       0.161873        549.463        549.463       0.994839       0.181089     0.00619062      0.0248545       0.063458     0.00108821      0.0374684
        244.485       0.161702        586.763        586.763       0.996034       0.181236     0.00617868      0.0248673        0.06325     0.00108572      0.0373683
        261.081       0.161531        626.595        626.595       0.997007       0.181347     0.00616412      0.0248698      0.0630437     0.00108252      0.0372607
        278.805       0.161361        669.131        669.131       0.997783       0.181426     0.00614727      0.0248632      0.0628389     0.00107871      0.0371466
        297.731        0.16119        714.555        714.555       0.998392       0.181479     0.00612848      0.0248488      0.0626354     0.00107438      0.0370268
        317.943       0.161019        763.062        763.062       0.998858       0.181508     0.00610804      0.0248278       0.062433     0.00106961      0.0369024
        339.526       0.160848        814.862        814.862       0.999208       0.181518     0.00608627      0.0248012      0.0622314     0.00106449      0.0367741
        362.575       0.160678        870.179        870.179       0.999464       0.181513     0.00606343      0.0247703      0.0620305     0.00105909      0.0366427
        387.188       0.160507        929.251        929.251       0.999647       0.181495     0.00603975      0.0247358        0.06183     0.00105348       0.036509
        413.472       0.160336        992.333        992.333       0.999774       0.181468     0.00601545      0.0246986      0.0616299      0.0010477      0.0363734
         441.54       0.160165         1059.7         1059.7       0.999859       0.181433     0.00599068      0.0246593        0.06143     0.00104181      0.0362365
        471.514       0.159995        1131.63        1131.63       0.999915       0.181393     0.00596559      0.0246184      0.0612302     0.00103585      0.0360986
        503.523       0.159824        1208.45        1208.45       0.999951       0.181349     0.00594027      0.0245764      0.0610305     0.00102984      0.0359601
        537.704       0.159653        1290.49        1290.49       0.999972       0.181303      0.0059148      0.0245335      0.0608309      0.0010238      0.0358211
        574.206       0.159482        1378.09        1378.09       0.999985       0.181253     0.00588924        0.02449      0.0606312     0.00101774      0.0356818
        613.186       0.159311        1471.65        1471.65       0.999992       0.181203     0.00586361       0.024446      0.0604315     0.00101168      0.0355423
        654.812       0.159141        1571.55        1571.55       0.999996       0.181151     0.00583796      0.0244017      0.0602317     0.00100563      0.0354028
        699.263        0.15897        1678.23        1678.23       0.999998       0.181098     0.00581229       0.024357      0.0600318    0.000999584      0.0352631
        746.732       0.158799        1792.16        1792.16       0.999999       0.181043     0.00578662      0.0243121      0.0598319    0.000993549      0.0351234
        797.424       0.158628        1913.82        1913.82              1       0.180988     0.00576095      0.0242669      0.0596319    0.000987526      0.0349837
        851.557       0.158458        2043.74        2043.74              1       0.180933     0.00573528      0.0242214      0.0594318    0.000981515       0.034844
