        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
        118.709       0.163581        284.902        455.843        0.96657        0.99427       0.972466        1.00102        1.00066       0.938212       0.992831
        126.768        0.16341        304.242        486.787       0.970838       0.994622       0.974142        1.00095        1.00062       0.941908        0.99327
        135.373       0.163239        324.895        519.833       0.974796        0.99495       0.975706         1.0009        1.00058       0.945365        0.99368
        144.563       0.163068        346.951        555.121       0.978431       0.995256       0.977167        1.00084        1.00055       0.948599       0.994062
        154.376       0.162898        370.504        592.806       0.981736       0.995541        0.97853        1.00079        1.00051       0.951625       0.994419
        164.856       0.162727        395.655        633.048       0.984709       0.995807       0.979804        1.00075        1.00048       0.954457       0.994752
        176.047       0.162556        422.514        676.022       0.987351       0.996055       0.980994         1.0007        1.00045       0.957107       0.995063
        187.998       0.162385        451.196        721.914        0.98967       0.996286       0.982107        1.00066        1.00043       0.959589       0.995353
        200.761       0.162215        481.825        770.921       0.991679       0.996503       0.983148        1.00062         1.0004       0.961914       0.995625
        214.389       0.162044        514.534        823.254       0.993396       0.996705       0.984122        1.00058        1.00038       0.964094       0.995879
        228.943       0.161873        549.463        879.141       0.994839       0.996894       0.985034        1.00055        1.00036       0.966137       0.996117
        244.485       0.161702        586.763        938.821       0.996034       0.997072       0.985889        1.00052        1.00033       0.968055        0.99634
        261.081       0.161531        626.595        1002.55       0.997007       0.997238       0.986691        1.00049        1.00031       0.969855       0.996549
        278.805       0.161361        669.131        1070.61       0.997783       0.997394       0.987444        1.00046         1.0003       0.971545       0.996746
        297.731        0.16119        714.555        1143.29       0.998392        0.99754        0.98815        1.00043        1.00028       0.973134        0.99693
        317.943       0.161019        763.062         1220.9       0.998858       0.997677       0.988814        1.00041        1.00026       0.974629       0.997102
        339.526       0.160848        814.862        1303.78       0.999208       0.997807       0.989439        1.00038        1.00025       0.976037       0.997265
        362.575       0.160678        870.179        1392.29       0.999464       0.997928       0.990027        1.00036        1.00023       0.977364       0.997418
        387.188       0.160507        929.251         1486.8       0.999647       0.998043       0.990582        1.00034        1.00022       0.978618       0.997563
        413.472       0.160336        992.333        1587.73       0.999774       0.998152       0.991107        1.00032        1.00021       0.979804       0.997699
         441.54       0.160165         1059.7        1695.51       0.999859       0.998254       0.991604         1.0003        1.00019       0.980927       0.997828
        471.514       0.159995        1131.63        1810.61       0.999915       0.998352       0.992075        1.00028        1.00018       0.981993       0.997951
        503.523       0.159824        1208.45        1933.53       0.999951       0.998444       0.992523        1.00027        1.00017       0.983006       0.998067
        537.704       0.159653        1290.49        2064.78       0.999972       0.998532       0.992948        1.00025        1.00016       0.983969       0.998177
        574.206       0.159482        1378.09        2204.95       0.999985       0.998616       0.993352        1.00023        1.00015       0.984885       0.998282
        613.186       0.159311        1471.65        2354.63       0.999992       0.998695       0.993737        1.00022        1.00014       0.985756       0.998382
        654.812       0.159141        1571.55        2514.48       0.999996       0.998771       0.994101        1.00021        1.00013       0.986582       0.998476
        699.263        0.15897        1678.23        2685.17       0.999998       0.998842       0.994446        1.00019        1.00013       0.987364       0.998566
        746.732       0.158799        1792.16        2867.45       0.999999        0.99891       0.994772        1.00018        1.00012       0.988103        0.99865
        797.424       0.158628        1913.82        3062.11              1       0.998973       0.995077        1.00017        1.00011       0.988797       0.998729
        851.557       0.158458        2043.74        3269.98              1       0.999032       0.995364        1.00016         1.0001       0.989446       0.998803
        909.365       0.158287        2182.47        3491.96              1       0.999088        0.99563        1.00015         1.0001       0.990051       0.998872
        971.096       0.158116        2330.63        3729.01              1       0.999139       0.995877        1.00014        1.00009       0.990611       0.998936
        1037.02       0.157945        2488.85        3982.15              1       0.999186       0.996104        1.00013        1.00009       0.991128       0.998995
        1107.42       0.157775         2657.8        4252.48              1       0.999229       0.996313        1.00013        1.00008       0.991602       0.999049
        1182.59       0.157604        2838.22        4541.16              1       0.999269       0.996504        1.00012        1.00008       0.992036       0.999098
        1262.87       0.157433         3030.9        4849.43              1       0.999305       0.996679        1.00011        1.00007       0.992433       0.999144
         1348.6       0.157262        3236.65        5178.63              1       0.999338       0.996838        1.00011        1.00007       0.992796       0.999185
        1440.15       0.157091        3456.36        5530.18              1       0.999369       0.996985         1.0001        1.00007       0.993129       0.999223
        1537.92       0.156921           3691         5905.6              1       0.999397        0.99712         1.0001        1.00006       0.993437       0.999258
        1642.32        0.15675        3941.56         6306.5              1       0.999423       0.997246        1.00009        1.00006       0.993723        0.99929
        1753.81       0.156579        4209.13        6734.61              1       0.999447       0.997364        1.00009        1.00006       0.993992       0.999321
        1872.86       0.156408        4494.87        7191.79              1        0.99947       0.997476        1.00008        1.00005       0.994247        0.99935
           2000       0.156238           4800           7680              1       0.999493       0.997584        1.00008        1.00005       0.994494       0.999378
