        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
        118.709       0.163581        284.902        455.843        0.96657       0.997068       0.970441        1.00595       0.985509       0.940463       0.985712
        126.768        0.16341        304.242        486.787       0.970838       0.997258       0.972217         1.0056       0.986323       0.944034       0.986541
        135.373       0.163239        324.895        519.833       0.974796       0.997433       0.973874        1.00526        0.98709       0.947371       0.987317
        144.563       0.163068        346.951        555.121       0.978431       0.997594       0.975422        1.00495        0.98781       0.950489       0.988044
        154.376       0.162898        370.504        592.806       0.981736       0.997744       0.976867        1.00466       0.988489       0.953404       0.988724
        164.856       0.162727        395.655        633.048       0.984709       0.997883       0.978217        1.00438       0.989128       0.956129       0.989363
        176.047       0.162556        422.514        676.022       0.987351       0.998012        0.97948        1.00413       0.989729       0.958678       0.989961
        187.998       0.162385        451.196        721.914        0.98967       0.998131       0.980661        1.00389       0.990296       0.961064       0.990523
        200.761       0.162215        481.825        770.921       0.991679       0.998242       0.981766        1.00366       0.990829       0.963299        0.99105
        214.389       0.162044        514.534        823.254       0.993396       0.998346       0.982802        1.00345       0.991332       0.965393       0.991545
        228.943       0.161873        549.463        879.141       0.994839       0.998442       0.983773        1.00324       0.991807       0.967356       0.992011
        244.485       0.161702        586.763        938.821       0.996034       0.998531       0.984684        1.00306       0.992254       0.969199       0.992448
        261.081       0.161531        626.595        1002.55       0.997007       0.998615       0.985539        1.00288       0.992675       0.970929        0.99286
        278.805       0.161361        669.131        1070.61       0.997783       0.998693       0.986343        1.00271       0.993073       0.972555       0.993248
        297.731        0.16119        714.555        1143.29       0.998392       0.998765       0.987098        1.00255       0.993449       0.974084       0.993613
        317.943       0.161019        763.062         1220.9       0.998858       0.998832       0.987808         1.0024       0.993803       0.975522       0.993956
        339.526       0.160848        814.862        1303.78       0.999208       0.998895       0.988477        1.00226       0.994138       0.976875        0.99428
        362.575       0.160678        870.179        1392.29       0.999464       0.998954       0.989107        1.00213       0.994454       0.978149       0.994586
        387.188       0.160507        929.251         1486.8       0.999647       0.999009         0.9897          1.002       0.994752       0.979349       0.994874
        413.472       0.160336        992.333        1587.73       0.999774        0.99906        0.99026        1.00188       0.995035       0.980481       0.995147
         441.54       0.160165         1059.7        1695.51       0.999859       0.999109       0.990788        1.00177       0.995301       0.981549       0.995404
        471.514       0.159995        1131.63        1810.61       0.999915       0.999154       0.991287        1.00167       0.995553       0.982558       0.995647
        503.523       0.159824        1208.45        1933.53       0.999951       0.999198       0.991759        1.00157       0.995792       0.983512       0.995878
        537.704       0.159653        1290.49        2064.78       0.999972        0.99924       0.992206        1.00147       0.996018       0.984415       0.996097
        574.206       0.159482        1378.09        2204.95       0.999985       0.999281        0.99263        1.00139       0.996231       0.985272       0.996304
        613.186       0.159311        1471.65        2354.63       0.999992       0.999321       0.993033        1.00131       0.996434       0.986085       0.996502
        654.812       0.159141        1571.55        2514.48       0.999996       0.999359       0.993415        1.00123       0.996625       0.986858       0.996689
        699.263        0.15897        1678.23        2685.17       0.999998       0.999397       0.993778        1.00117       0.996807       0.987594       0.996867
        746.732       0.158799        1792.16        2867.45       0.999999       0.999434       0.994123         1.0011       0.996978       0.988294       0.997037
        797.424       0.158628        1913.82        3062.11              1        0.99947       0.994451        1.00104       0.997141       0.988959       0.997198
        851.557       0.158458        2043.74        3269.98              1       0.999505       0.994763        1.00099       0.997295       0.989591       0.997352
        909.365       0.158287        2182.47        3491.96              1       0.999538       0.995059        1.00094       0.997441        0.99019       0.997497
        971.096       0.158116        2330.63        3729.01              1        0.99957       0.995338        1.00089       0.997579       0.990756       0.997635
        1037.02       0.157945        2488.85        3982.15              1         0.9996       0.995602        1.00085        0.99771        0.99129       0.997766
        1107.42       0.157775         2657.8        4252.48              1       0.999628        0.99585         1.0008       0.997833       0.991791       0.997889
        1182.59       0.157604        2838.22        4541.16              1       0.999654       0.996084        1.00076        0.99795        0.99226       0.998005
        1262.87       0.157433         3030.9        4849.43              1       0.999677       0.996302        1.00073       0.998061       0.992697       0.998115
         1348.6       0.157262        3236.65        5178.63              1       0.999698       0.996505        1.00069       0.998165       0.993101       0.998217
        1440.15       0.157091        3456.36        5530.18              1       0.999715       0.996694        1.00065       0.998264       0.993475       0.998313
        1537.92       0.156921           3691         5905.6              1        0.99973       0.996869        1.00062       0.998357       0.993819       0.998403
        1642.32        0.15675        3941.56         6306.5              1       0.999743       0.997031        1.00058       0.998445       0.994134       0.998487
        1753.81       0.156579        4209.13        6734.61              1       0.999752       0.997181        1.00055       0.998527       0.994424       0.998565
        1872.86       0.156408        4494.87        7191.79              1        0.99976       0.997319        1.00052       0.998605        0.99469       0.998638
           2000       0.156238           4800           7680              1       0.999766       0.997448        1.00048       0.998679       0.994935       0.998706
