        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
       0.220827              3       0.145555       0.135944
       0.309714         4.1795        0.19679       0.188122
        0.43537        5.82274       0.265687       0.258472
       0.613632        8.11205       0.355382       0.350352
       0.867099        11.3014       0.465535       0.463557
        1.22707        15.7448       0.588152       0.589819
        1.73516        21.9351       0.705983       0.710894
        2.44604        30.5593       0.800521       0.807061
        3.43503        42.5742       0.865427       0.871801
        4.80992         59.313       0.907381       0.912672
        6.72335        82.6328       0.935163       0.939252
        9.38797        115.121       0.954195       0.957258
        13.0996        160.383       0.967472        0.96973
        18.2701        223.441       0.976823       0.978473
        25.4731         311.29       0.983449       0.984648
         35.508        433.679       0.988163        0.98903
        49.4882        604.187       0.991525       0.992152
        68.9647        841.734       0.993928        0.99438
        96.0988        1172.68       0.995648       0.995973
        133.901        1633.73       0.996876        0.99711
        186.566        2276.06       0.997757       0.997925
        259.937        3170.93       0.998406       0.998526
        362.155        4417.64       0.998871       0.998956
         504.56        6154.51       0.999163       0.999226
        702.952        8574.26       0.999353       0.999402
        979.349        11945.4       0.999522       0.999558
        1364.42        16641.9       0.999694       0.999717
         1900.9          23185       0.999835       0.999847
         2648.3        32300.5       0.999912       0.999919
        3689.53          45000       0.999938       0.999943
