        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
      0.0933614              3        27.7667      0.0208004        23.8433        389.669    0.000631768       0.409366    9.30962e-05    3.50423e-09    1.68909e-09
       0.143668         4.1795        21.4762      0.0227791        15.4705        279.258    0.000751734       0.422371    0.000123982    6.38268e-09    3.16142e-09
       0.225992        5.82274        16.8706      0.0256239        9.76678        199.048    0.000940264       0.439619    0.000169111    1.21706e-08    6.09165e-09
       0.361927        8.11205        13.4372      0.0296769         6.0075         140.73     0.00124058       0.461632    0.000235565    2.41485e-08    1.20296e-08
       0.583291        11.3014        10.8025      0.0353036        3.63975        98.6215      0.0017196       0.487944    0.000333727     4.9482e-08    2.41886e-08
       0.928518        15.7448        8.70829      0.0427111        2.22518        68.8805     0.00246785        0.51619    0.000477775    1.03522e-07    4.90203e-08
        1.43609        21.9351        7.00973      0.0516257         1.4185        48.7389     0.00357552       0.541918     0.00068442    2.17364e-07    9.86451e-08
        2.15189        30.5593        5.66842      0.0610774       0.970634        35.8649      0.0050706        0.56058    0.000968085    4.47713e-07    1.93458e-07
        3.14858        42.5742        4.69987      0.0697423       0.725191        28.1392     0.00685013       0.570924     0.00133139    8.81096e-07    3.62129e-07
        4.53368         59.313        4.08712      0.0767196       0.593175        23.7874     0.00868828        0.57546     0.00175256    1.61106e-06    6.32396e-07
        6.45653        82.6328        3.74419      0.0818746       0.523573        21.4619        0.01035       0.577254     0.00218096    2.66748e-06    1.00718e-06
        9.12738        115.121        3.55989      0.0855269       0.486057        20.2167      0.0117071       0.577965     0.00255955     3.9464e-06     1.4447e-06
        12.8426        160.383        3.45412      0.0880811       0.464137        19.4968      0.0127497       0.578241     0.00285973    5.25421e-06    1.87871e-06
        18.0152        223.441        3.38784      0.0898696       0.450259         19.044      0.0135263       0.578339     0.00308475    6.43232e-06    2.26033e-06
        25.2197         311.29        3.34406      0.0911285       0.441051        18.7447      0.0140962       0.578364     0.00324975    7.41091e-06    2.57157e-06
        35.2556        433.679        3.31431      0.0920191       0.434777        18.5412       0.014511       0.578361     0.00336964    8.18436e-06     2.8143e-06
        49.2364        604.187        3.29373      0.0926515       0.430433        18.4005      0.0148115       0.578348     0.00345633    8.77688e-06    2.99848e-06
        68.7134        841.734        3.27934       0.093102       0.427391        18.3021      0.0150285       0.578335     0.00351887    9.22168e-06     3.1358e-06
        95.8474        1172.68        3.26921      0.0934238       0.425247        18.2327      0.0151849       0.578323     0.00356391    9.55109e-06      3.237e-06
        133.651        1633.73        3.26201      0.0936534       0.423724        18.1836      0.0152974       0.578312     0.00359628    9.79274e-06    3.31096e-06
        186.318        2276.06        3.25686      0.0938166       0.422637        18.1487      0.0153779         0.5783     0.00361952    9.96882e-06    3.36473e-06
        259.688        3170.93        3.25324      0.0939353       0.421869        18.1237      0.0154365       0.578296      0.0036363    1.00968e-05    3.40374e-06
        361.895        4417.64        3.25072      0.0940242       0.421328        18.1058      0.0154801       0.578303     0.00364843    1.01895e-05    3.43194e-06
        504.289        6154.51        3.24889      0.0940855        0.42094         18.093      0.0155103       0.578304     0.00365707    1.02561e-05    3.45221e-06
         702.69        8574.26        3.24742      0.0941211       0.420648        18.0838      0.0155284       0.578289     0.00366324    1.03045e-05    3.46703e-06
        979.121        11945.4         3.2463      0.0941448       0.420428        18.0773      0.0155408       0.578271     0.00366767    1.03397e-05    3.47778e-06
        1364.24        16641.9        3.24569      0.0941712       0.420281         18.073      0.0155539        0.57827     0.00367058    1.03629e-05     3.4847e-06
        1900.73          23185        3.24542      0.0941979       0.420191        18.0703      0.0155668        0.57828     0.00367254    1.03782e-05    3.48911e-06
         2648.1        32300.5        3.24516      0.0942155       0.420121        18.0678      0.0155754       0.578288     0.00367432    1.03916e-05    3.49307e-06
        3689.31          45000         3.2448      0.0942229       0.420058        18.0653      0.0155792       0.578289     0.00367605    1.04045e-05    3.49707e-06
