        dNpi/dy       Vc[fm^3]           K/Pi          Xi/Pi         Phi/Pi           P/Pi       Omega/Pi          La/Pi          H2/Pi         He3/Pi        H3La/Pi
       0.245971              3       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.342678         4.1795       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.477408        5.82274       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.665109        8.11205       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.926608        11.3014       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.29092        15.7448       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.79847        21.9351       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2.50556        30.5593       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3.49067        42.5742       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        4.86308         59.313       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        6.77509        82.6328       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        9.43882        115.121       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        13.1499        160.383       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        18.3199        223.441       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        25.5227         311.29       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        35.5574        433.679       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        49.5374        604.187       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        69.0139        841.734       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        96.1479        1172.68       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         133.95        1633.73       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        186.615        2276.06       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        259.986        3170.93       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        362.203        4417.64       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         504.61        6154.51       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        703.006        8574.26       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        979.404        11945.4       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1364.47        16641.9       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1900.94          23185       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2648.33        32300.5       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3689.56          45000       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
