        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
      0.0933614              3       0.409366       0.482016
       0.143668         4.1795       0.422371       0.495312
       0.225992        5.82274       0.439619       0.500521
       0.361927        8.11205       0.461632       0.498153
       0.583291        11.3014       0.487944       0.488837
       0.928518        15.7448        0.51619       0.473526
        1.43609        21.9351       0.541918       0.453825
        2.15189        30.5593        0.56058       0.432101
        3.14858        42.5742       0.570924       0.410998
        4.53368         59.313        0.57546       0.392533
        6.45653        82.6328       0.577254       0.377576
        9.12738        115.121       0.577965       0.366081
        12.8426        160.383       0.578241       0.357564
        18.0152        223.441       0.578339       0.351401
        25.2197         311.29       0.578364       0.346997
        35.2556        433.679       0.578361       0.343864
        49.2364        604.187       0.578348       0.341634
        68.7134        841.734       0.578335       0.340046
        95.8474        1172.68       0.578323       0.338914
        133.651        1633.73       0.578312       0.338104
        186.318        2276.06         0.5783       0.337525
        259.688        3170.93       0.578296       0.337111
        361.895        4417.64       0.578303       0.336811
        504.289        6154.51       0.578304       0.336601
         702.69        8574.26       0.578289       0.336458
        979.121        11945.4       0.578271       0.336352
        1364.24        16641.9        0.57827       0.336266
        1900.73          23185        0.57828       0.336195
         2648.1        32300.5       0.578288       0.336142
        3689.31          45000       0.578289       0.336112
