particle,centrality_class,beta_t,beta_t_unc1,beta_t_unc2,Tkin,Tkin_unc1,Tkin_unc2,n_profile,n_profile_unc1,n_profile_unc2
ALL,1,0.4888778,0.01369602,-0.01369602,0.1631271,0.008885212,-0.008885212,1.470946,0.09572669,-0.09572669
ALL,2,0.4447226,0.01622261,-0.01622261,0.1740739,0.008711449,-0.008711449,1.708978,0.1386263,-0.1386263
ALL,3,0.4063855,0.01779899,-0.01779899,0.1789505,0.00828992,-0.00828992,2.011538,0.1868883,-0.1868883
ALL,4,0.378183,0.0187819,-0.0187819,0.1818368,0.007908101,-0.007908101,2.252627,0.2292401,-0.2292401
ALL,5,0.3557904,0.01915767,-0.01915767,0.1822422,0.007503965,-0.007503965,2.505522,0.267796,-0.267796
ALL,6,0.325206,0.01949349,-0.01949349,0.1837213,0.006962939,-0.006962939,2.893228,0.3293251,-0.3293251
ALL,7,0.2875364,0.01985626,-0.01985626,0.1843517,0.00637518,-0.00637518,3.483689,0.4326943,-0.4326943
ALL,8,0.2524384,0.01950779,-0.01950779,0.183804,0.00574496,-0.00574496,4.209985,0.5542764,-0.5542764
ALL,9,0.2028491,0.018149,-0.018149,0.1812372,0.004830958,-0.004830958,5.714837,0.8069462,-0.8069462
ALL,10,0.1156451,0.01350013,-0.01350013,0.173787,0.003283586,-0.003283586,11.61721,1.874312,-1.874312
