        dNpi/dy       Vc[fm^3]
       0.220827              3
       0.309714         4.1795
        0.43537        5.82274
       0.613632        8.11205
       0.867099        11.3014
        1.22707        15.7448
        1.73516        21.9351
        2.44604        30.5593
        3.43503        42.5742
        4.80992         59.313
        6.72335        82.6328
        9.38797        115.121
        13.0996        160.383
        18.2701        223.441
        25.4731         311.29
         35.508        433.679
        49.4882        604.187
        68.9647        841.734
        96.0988        1172.68
        133.901        1633.73
        186.566        2276.06
        259.937        3170.93
        362.155        4417.64
         504.56        6154.51
        702.952        8574.26
        979.349        11945.4
        1364.42        16641.9
         1900.9          23185
         2648.3        32300.5
        3689.53          45000
