      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
        537.704       0.159653        1290.49        2064.78       0.999972        192.128        34.8068        11.6412
        574.206       0.159482        1378.09        2204.95       0.999985        203.751        36.9041        12.3075
        613.186       0.159311        1471.65        2354.63       0.999992        216.076        39.1269        13.0116
        654.812       0.159141        1571.55        2514.48       0.999996        229.143        41.4829        13.7555
        699.263        0.15897        1678.23        2685.17       0.999998        242.999          43.98        14.5415
        746.732       0.158799        1792.16        2867.45       0.999999        257.691        46.6268        15.3719
        797.424       0.158628        1913.82        3062.11              1        273.268        49.4322        16.2493
        851.557       0.158458        2043.74        3269.98              1        289.786        52.4057        17.1763
        909.365       0.158287        2182.47        3491.96              1        307.299        55.5574        18.1557
        971.096       0.158116        2330.63        3729.01              1        325.869        58.8979        19.1904
        1037.02       0.157945        2488.85        3982.15              1         345.56        62.4384        20.2835
        1107.42       0.157775         2657.8        4252.48              1        366.438         66.191        21.4384
        1182.59       0.157604        2838.22        4541.16              1        388.576        70.1683        22.6584
        1262.87       0.157433         3030.9        4849.43              1        412.049        74.3838        23.9474
         1348.6       0.157262        3236.65        5178.63              1        436.938        78.8515         25.309
        1440.15       0.157091        3456.36        5530.18              1        463.329        83.5866        26.7476
        1537.92       0.156921           3691         5905.6              1        491.313        88.6051        28.2672
        1642.32        0.15675        3941.56         6306.5              1        520.984        93.9238        29.8726
        1753.81       0.156579        4209.13        6734.61              1        552.446        99.5607        31.5685
        1872.86       0.156408        4494.87        7191.79              1        585.805        105.535        33.3599
           2000       0.156238           4800           7680              1        621.177        111.866        35.2523
