      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
        65.7302       0.165118        157.752        473.257       0.917945        28.8035        4.87079        1.93022
        70.1922       0.164947        168.461        505.384       0.923922        30.5912        5.20218        2.04392
        74.9572       0.164776        179.897        539.692       0.929824        32.4885        5.55523        2.16414
        80.0457       0.164605         192.11        576.329       0.935623        34.5019        5.93111        2.29125
        85.4795       0.164434        205.151        615.453       0.941287        36.6383        6.33103        2.42563
        91.2823       0.164264        219.077        657.232       0.946787        38.9048        6.75624        2.56769
        97.4789       0.164093        233.949        701.848       0.952092        41.3091        7.20803        2.71786
        104.096       0.163922        249.831        749.493       0.957175        43.8593        7.68771         2.8766
        111.163       0.163751        266.791        800.372       0.962009        46.5638        8.19666        3.04439
        118.709       0.163581        284.902        854.705        0.96657        49.4316         8.7363        3.22173
        126.768        0.16341        304.242        912.726       0.970838        52.4724         9.3081        3.40917
        135.373       0.163239        324.895        974.686       0.974796         55.696        9.91361        3.60727
        144.563       0.163068        346.951        1040.85       0.978431        59.1133        10.5545        3.81662
        154.376       0.162898        370.504        1111.51       0.981736        62.7356        11.2325        4.03786
        164.856       0.162727        395.655        1186.97       0.984709        66.5748        11.9494        4.27166
        176.047       0.162556        422.514        1267.54       0.987351        70.6439        12.7073        4.51873
        187.998       0.162385        451.196        1353.59        0.98967        74.9563        13.5083         4.7798
        200.761       0.162215        481.825        1445.48       0.991679        79.5266        14.3547        5.05567
        214.389       0.162044        514.534         1543.6       0.993396        84.3702        15.2492        5.34718
        228.943       0.161873        549.463        1648.39       0.994839        89.5034        16.1945        5.65521
        244.485       0.161702        586.763        1760.29       0.996034        94.9436        17.1935        5.98068
        261.081       0.161531        626.595        1879.79       0.997007        100.709        18.2496         6.3246
        278.805       0.161361        669.131        2007.39       0.997783        106.821        19.3663        6.68799
        297.731        0.16119        714.555        2143.66       0.998392        113.298        20.5474        7.07198
        317.943       0.161019        763.062        2289.19       0.998858        120.164         21.797        7.47772
        339.526       0.160848        814.862        2444.59       0.999208        127.443        23.1194        7.90644
        362.575       0.160678        870.179        2610.54       0.999464        135.159        24.5194        8.35946
        387.188       0.160507        929.251        2787.75       0.999647        143.339        26.0017        8.83814
        413.472       0.160336        992.333           2977       0.999774        152.012        27.5717        9.34394
         441.54       0.160165         1059.7        3179.09       0.999859        161.207        29.2349         9.8784
        471.514       0.159995        1131.63         3394.9       0.999915        170.956        30.9971        10.4431
        503.523       0.159824        1208.45        3625.36       0.999951        181.293        32.8644        11.0399
        537.704       0.159653        1290.49        3871.47       0.999972        192.253        34.8433        11.6704
        574.206       0.159482        1378.09        4134.28       0.999985        203.875        36.9405        12.3367
        613.186       0.159311        1471.65        4414.94       0.999992        216.198        39.1633        13.0406
        654.812       0.159141        1571.55        4714.64       0.999996        229.265        41.5192        13.7845
        699.263        0.15897        1678.23         5034.7       0.999998         243.12        44.0162        14.5704
        746.732       0.158799        1792.16        5376.47       0.999999        257.812        46.6629        15.4009
        797.424       0.158628        1913.82        5741.45              1        273.391        49.4681        16.2783
        851.557       0.158458        2043.74        6131.21              1        289.909        52.4414        17.2054
        909.365       0.158287        2182.47        6547.42              1        307.425        55.5929        18.1848
        971.096       0.158116        2330.63        6991.89              1        325.998        58.9331        19.2197
        1037.02       0.157945        2488.85        7466.54              1        345.692        62.4734         20.313
        1107.42       0.157775         2657.8         7973.4              1        366.574        66.2257        21.4682
        1182.59       0.157604        2838.22        8514.67              1        388.716        70.2028        22.6885
        1262.87       0.157433         3030.9        9092.69              1        412.194         74.418        23.9777
         1348.6       0.157262        3236.65        9709.94              1        437.089        78.8857        25.3397
        1440.15       0.157091        3456.36        10369.1              1        463.485        83.6208        26.7784
        1537.92       0.156921           3691          11073              1        491.473        88.6395        28.2983
        1642.32        0.15675        3941.56        11824.7              1        521.149        93.9586        29.9038
        1753.81       0.156579        4209.13        12627.4              1        552.614        99.5961        31.5998
        1872.86       0.156408        4494.87        13484.6              1        585.977        105.571        33.3912
           2000       0.156238           4800          14400              1        621.351        111.903        35.2834
