      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
              3       0.173144            7.2           21.6       0.762394        1.57051       0.208001      0.0915929
        3.20365       0.172973        7.68877        23.0663       0.763213        1.68043       0.224718       0.100218
        3.42113       0.172802        8.21072        24.6322       0.764084         1.7968       0.242384       0.109341
        3.65337       0.172631         8.7681        26.3043       0.765011        1.92002       0.261055       0.118973
        3.90138       0.172461        9.36332          28.09       0.765997        2.05051       0.280799       0.129129
        4.16623        0.17229        9.99894        29.9968       0.767045        2.18872       0.301687       0.139826
        4.44905       0.172119        10.6777        32.0332       0.768159        2.33512       0.323802       0.151089
        4.75107       0.171948        11.4026        34.2077       0.769342        2.49023       0.347233       0.162944
         5.0736       0.171777        12.1766        36.5299         0.7706        2.65461       0.372075       0.175423
        5.41802       0.171607        13.0032        39.0097       0.771935        2.82883       0.398434       0.188561
        5.78582       0.171436         13.886        41.6579       0.773352        3.01352       0.426418       0.202398
        6.17858       0.171265        14.8286        44.4858       0.774856        3.20934       0.456146       0.216978
        6.59801       0.171094        15.8352        47.5057       0.776451        3.41701       0.487744       0.232347
        7.04592       0.170924        16.9102        50.7306       0.778142        3.63727       0.521346       0.248557
        7.52423       0.170753        18.0581        54.1744       0.779933        3.87091       0.557094       0.265661
        8.03501       0.170582         19.284         57.852        0.78183        4.11877        0.59514       0.283715
        8.58046       0.170411        20.5931        61.7793       0.783838        4.38175       0.635648       0.302778
        9.16294       0.170241        21.9911        65.9732       0.785961        4.66081       0.678791       0.322913
        9.78496        0.17007        23.4839        70.4517       0.788206        4.95693       0.724757       0.344185
        10.4492       0.169899        25.0781        75.2343       0.790577         5.2712       0.773746       0.366664
        11.1586       0.169728        26.7805        80.3416        0.79308        5.60475       0.825972       0.390422
         11.916       0.169557        28.5985        85.7955        0.79572        5.95879       0.881666       0.415534
         12.725       0.169387        30.5399        91.6197       0.798501         6.3346       0.941074       0.442082
        13.5888       0.169216        32.6131        97.8393        0.80143        6.73353        1.00446        0.47015
        14.5113       0.169045         34.827        104.481        0.80451        7.15703        1.07212       0.499827
        15.4964       0.168874        37.1912        111.574       0.807747        7.60665        1.14434       0.531208
        16.5483       0.168704         39.716        119.148       0.811145          8.084        1.22147       0.564391
        17.6717       0.168533        42.4121        127.236       0.814707        8.59084        1.30384       0.599483
        18.8713       0.168362        45.2912        135.874       0.818436          9.129        1.39184       0.636595
        20.1524       0.168191        48.3658        145.097       0.822336        9.70043        1.48588       0.675843
        21.5204       0.168021        51.6491        154.947       0.826408        10.3072        1.58638       0.717352
        22.9813        0.16785        55.1552        165.466       0.830654        10.9516         1.6938       0.761252
        24.5414       0.167679        58.8994        176.698       0.835073        11.6359        1.80866       0.807684
        26.2074       0.167508        62.8978        188.693       0.839665        12.3626        1.93146       0.856792
        27.9865       0.167338        67.1676        201.503       0.844427        13.1343        2.06277       0.908731
        29.8863       0.167167        71.7272        215.182       0.849357        13.9539         2.2032       0.963666
        31.9152       0.166996        76.5964        229.789       0.854449        14.8243        2.35337        1.02177
        34.0817       0.166825        81.7961        245.388       0.859697        15.7487        2.51397        1.08322
        36.3953       0.166654        87.3488        262.046       0.865092        16.7304        2.68571        1.14822
         38.866       0.166484        93.2785        279.835       0.870625         17.773        2.86935        1.21696
        41.5044       0.166313        99.6106        298.832       0.876283        18.8802        3.06567        1.28966
        44.3219       0.166142        106.373        319.118       0.882052         20.056        3.27553        1.36655
        47.3307       0.165971        113.594        340.781       0.887916        21.3045        3.49979        1.44787
        50.5438       0.165801        121.305        363.915       0.893857        22.6303        3.73938        1.53387
        53.9749        0.16563         129.54        388.619       0.899854         24.038        3.99526        1.62481
         57.639       0.165459        138.334        415.001       0.905884        25.5325        4.26842        1.72098
        61.5518       0.165288        147.724        443.173       0.911923        27.1192        4.55991        1.82268
